thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
6.04977990435122e-05,0.0105148094942055,1.21736217485264,0,0,0,0,1.012864
6.45274043484711e-05,0.0109762930032708,1.24367884804427,0,0,0,0,1.068014
6.87319307031814e-05,0.011447644299233,1.26998600188287,0,0,0,0,1.123821
7.31150781584777e-05,0.0119288597742802,1.29628343500854,0,0,0,0,1.182877
7.76805453980008e-05,0.0124199357450981,1.32257094613573,0,0,0,0,1.242745
8.24320297098874e-05,0.0129208684528982,1.34884833405487,0,0,0,0,1.304311
8.7373226958446e-05,0.0134316540634472,1.37511539763387,0,0,0,0,1.367561
9.25078315559054e-05,0.0139522886670953,1.40137193581965,0,0,0,0,1.432322
9.7839536434104e-05,0.0144827682788068,1.42761774763971,0,0,0,0,1.499248
0.000103372033016252,0.0150230888381905,1.45385263220364,0,0,0,0,1.567149
0.000109109011188652,0.0155732462095308,1.48007638870468,0,0,0,0,1.63762
0.000115054159272457,0.016133236181819,1.50628881642124,0,0,0,0,1.708925
0.000121211163995459,0.0167030544687859,1.53248971471844,0,0,0,0,1.782266
0.000127583710463877,0.017282696708935,1.55867888304965,0,0,0,0,1.85758
0.000134175482134094,0.0178721584655747,1.58485612095802,0,0,0,0,1.933908
0.000140990160784533,0.0184714352268534,1.61102122807804,0,0,0,0,2.012816
0.000148031426487435,0.0190805224057935,1.63717400413701,0,0,0,0,2.092435
0.0001553029575807,0.0196994153403263,1.66331424895666,0,0,0,0,2.174039
0.000162808430639722,0.0203281092933286,1.68944176245459,0,0,0,0,2.256904
0.000170551520449273,0.0209665994526581,1.7155563446459,0,0,0,0,2.341971
0.000178535899975373,0.0216148809311901,1.74165779564462,0,0,0,0,2.428571
0.000186765240337141,0.0222729487668558,1.76774591566532,0,0,0,0,2.515842
0.000195243210778727,0.0229407979226795,1.7938205050246,0,0,0,0,2.606086
0.000203973478641213,0.0236184232868176,1.81988136414261,0,0,0,0,2.697331
0.000212959709334576,0.0243058196725975,1.84592829354462,0,0,0,0,2.789321
0.000222205566309578,0.025002981818557,1.8719610938625,0,0,0,0,2.884827
0.000231714711029761,0.0257099043884855,1.89797956583629,0,0,0,0,2.9794
0.000241490802943395,0.0264265819714642,1.92398351031567,0,0,0,0,3.077518
0.000251537499455536,0.027153009081907,1.94997272826153,0,0,0,0,3.175661
0.00026185845589993,0.0278891801596035,1.9759470207475,0,0,0,0,3.276427
0.0002724573255111,0.0286350895697614,2.00190618896143,0,0,0,0,3.377767
0.00028333775939638,0.0293907316030488,2.02785003420693,0,0,0,0,3.480872
0.000294503406507949,0.0301561004756389,2.05377835790491,0,0,0,0,3.585854
0.000305957913614911,0.0309311903292536,2.07969096159508,0,0,0,0,3.691917
0.000317704925275391,0.0317159952312086,2.10558764693748,0,0,0,0,3.798898
0.000329748083808602,0.0325105091744587,2.13146821571396,0,0,0,0,3.907956
0.000342091029267028,0.0333147260776441,2.15733246982978,0,0,0,0,4.017591
0.0003547373994085,0.0341286397851367,2.18318021131503,0,0,0,0,4.129513
