0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000
0.000037	-0.000000	-0.000000	-0.001172	-0.041733	0.139415	0.090233	0.024250
0.000075	0.000000	0.000000	-0.006366	-0.188109	0.763251	0.528401	0.170146
0.000112	0.000000	0.000000	-0.007706	-0.268667	0.917081	0.598618	0.164976
0.000150	0.000000	0.000000	-0.019906	-0.602363	2.384267	1.638097	0.517867
0.000187	0.000000	0.000000	-0.023821	-0.777314	2.843796	1.903784	0.563235
0.000225	0.000000	0.000000	-0.038136	-1.194509	4.561106	3.097827	0.951659
0.000262	0.000000	-0.000000	-0.048394	-1.542670	5.783471	3.904183	1.180757
0.000300	-0.000000	0.000001	-0.062593	-1.996296	7.480257	5.048774	1.526239
0.000337	0.000000	-0.000005	-0.080225	-2.541821	9.590085	6.487686	1.972932
0.000375	-0.000000	0.000000	-0.097412	-3.105306	11.641447	7.858653	2.376673
0.000412	0.000000	-0.000017	-0.121397	-3.839899	14.512943	9.823713	2.991907
0.000450	0.000000	-0.000021	-0.141909	-4.534705	16.957614	11.437608	3.451451
0.000487	0.000000	-0.000048	-0.172377	-5.474344	20.604208	13.927245	4.226451
0.000525	0.000000	-0.000077	-0.203544	-6.468492	24.328861	16.440965	4.986237
0.000562	0.000000	-0.000119	-0.235230	-7.508172	28.111039	18.967711	5.729770
0.000600	0.000000	-0.000177	-0.275566	-8.771934	32.935510	22.243827	6.735946
0.000637	0.000001	-0.000238	-0.317172	-10.097271	37.908349	25.601401	7.752065
0.000675	0.000001	-0.000321	-0.359010	-11.467165	42.902859	28.940454	8.736645
0.000712	0.000001	-0.000403	-0.409737	-13.063991	48.969192	33.053090	9.994549
0.000749	0.000001	-0.000507	-0.462346	-14.745756	55.256481	37.292699	11.273472
0.000787	0.000001	-0.000624	-0.515746	-16.486855	61.632700	41.561853	12.537499
0.000824	0.000001	-0.000748	-0.578852	-18.485198	69.177927	46.666378	14.090590
0.000862	0.000001	-0.000895	-0.644362	-20.584440	77.006364	51.940416	15.677988
0.000899	0.000002	-0.001057	-0.710878	-22.752875	84.949319	57.258620	17.252873
0.000937	0.000002	-0.001226	-0.787789	-25.200952	94.143332	63.467088	19.133068
0.000974	0.000002	-0.001418	-0.864067	-27.681995	103.253105	69.571361	20.944683
0.001012	0.000003	-0.001626	-0.949683	-30.416969	113.486385	76.472731	23.027881
0.001049	0.000003	-0.001842	-1.036125	-33.221017	123.811555	83.397940	25.088462
