0.002824	0.000023	-0.019583	-7.823179	-413.718521	934.199084	466.802954	183.475125
0.002868	0.000042	-0.020254	-8.115699	-429.371036	969.105631	484.074444	190.152570
0.002913	0.000040	-0.021020	-8.414865	-445.373521	1004.808074	501.743852	196.987283
0.002957	0.000061	-0.021705	-8.718758	-461.646763	1041.070153	519.674629	203.912142
0.003001	0.000061	-0.022499	-9.030227	-478.307151	1078.240547	538.070998	211.028206
0.003045	0.000079	-0.023212	-9.344495	-495.156389	1115.737164	556.593486	218.169040
0.003089	0.000080	-0.024021	-9.665199	-512.349648	1154.002685	575.496265	225.457102
0.003133	0.000097	-0.024752	-9.992815	-529.898668	1193.094054	594.821402	232.917145
0.003177	0.000098	-0.025572	-10.322756	-547.619134	1232.455843	614.236612	240.383112
0.003222	0.000114	-0.026308	-10.659308	-565.685754	1272.606887	634.049808	248.007622
0.003266	0.000118	-0.027091	-11.002364	-584.093674	1313.535854	654.253768	255.787338
0.003310	0.000134	-0.027871	-11.348199	-602.687878	1354.789856	674.584216	263.592900
0.003354	0.000139	-0.028722	-11.699860	-621.594166	1396.739585	695.258332	271.531129
0.003398	0.000156	-0.029493	-12.055500	-640.733556	1439.160202	716.147182	279.539990
0.003442	0.000164	-0.030301	-12.418207	-660.235467	1482.426572	737.468895	287.725782
0.003486	0.000181	-0.031096	-12.782989	-679.890676	1525.932941	758.870817	295.916648
0.003530	0.000190	-0.031916	-13.156296	-699.967532	1570.462042	780.810711	304.336707
0.003575	0.000206	-0.032735	-13.531054	-720.169704	1615.155860	802.788518	312.742157
0.003619	0.000216	-0.033562	-13.911743	-740.687415	1660.557411	825.118276	321.284779
0.003663	0.000373	-0.033653	-14.297369	-761.551961	1706.512442	847.656944	329.857484
0.003707	0.000460	-0.034601	-14.686646	-782.489826	1752.941860	870.533194	338.635560
0.003751	0.000501	-0.035227	-15.079071	-803.695573	1799.710726	893.495918	347.386086
0.003795	0.000343	-0.036409	-15.478789	-825.234738	1847.388952	916.946036	356.359897
0.003839	0.000575	-0.037153	-15.877383	-846.811549	1894.898715	940.231905	365.210194
0.003883	0.000447	-0.038038	-16.286106	-868.860385	1943.645824	964.185894	374.361745
0.003928	0.000600	-0.038796	-16.696444	-891.030177	1992.558441	988.200654	383.515592
0.003972	0.000475	-0.039756	-17.107673	-913.300329	2041.585254	1012.215249	392.637038
0.004016	0.000591	-0.040590	-17.528383	-936.013802	2091.735144	1036.853693	402.038946
0.004060	0.000480	-0.041504	-17.950450	-958.844958	2142.052736	1061.527164	411.426745
0.004104	0.000499	-0.041912	-18.373177	-981.751522	2192.426770	1086.199544	420.789537
0.004148	0.000885	-0.042927	-18.807232	-1005.182666	2244.364389	1111.622343	430.492495
0.004192	0.000841	-0.043944	-19.235323	-1028.405756	2295.279012	1136.581867	439.948195
0.004237	0.001817	-0.044828	-19.677121	-1052.324039	2348.159898	1162.388925	449.755022
0.004281	0.001209	-0.045003	-20.112108	-1075.898829	2399.850845	1187.772898	459.385421
0.004325	0.001517	-0.046049	-20.555779	-1099.950091	2452.794348	1213.657835	469.202283
0.004369	0.001052	-0.046760	-20.998899	-1123.970671	2505.554944	1239.511353	479.007707
0.004413	0.001209	-0.047817	-21.448784	-1148.350374	2559.197895	1265.767159	488.970423
0.004457	0.000484	-0.048817	-21.898266	-1172.738543	2612.729932	1291.969072	498.893864
0.004501	0.000744	-0.049264	-22.353704	-1197.402588	2667.050392	1318.565605	508.996173
0.004545	0.000667	-0.049499	-22.809298	-1222.233521	2721.461011	1345.012807	518.943502
0.004590	0.001237	-0.050660	-23.269064	-1247.100418	2776.181286	1371.893480	529.173263
0.004634	0.000920	-0.051082	-23.731514	-1272.207426	2831.333117	1398.836163	539.367813
0.004678	0.001070	-0.052466	-24.192036	-1297.231550	2886.167152	1425.644638	549.498024
