thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
5.39213762789331e-10,4.31334363691979e-06,0.0230025362792604,0.0,0.0,0.0,0.0,-0.0,0.000293,-0.0
4.313705149265881e-09,1.72533415321376e-05,0.0460048964919475,0.0,0.0,0.0,0.0,0.0,0.001585,0.0
1.45587270193394e-08,3.88198946401548e-05,0.0690069045728361,0.0,0.0,0.0,0.0,0.0,0.001904,0.0
3.4509482706831e-08,6.90128378857662e-05,0.0920083844593956,0.0,0.0,0.0,0.0,0.0,0.004966,0.0
6.7401101254718e-08,0.0001078319401654,0.115009160093139,0.0,0.0,0.0,0.0,0.0,0.005905,0.0
1.16468612653556e-07,0.0001552769043488,0.138009055420969,0.0,0.0,0.0,0.0,0.0,0.009512,0.0
1.84946923082102e-07,0.0002113473672817,0.161007894396528,0.0,0.0,0.0,0.0,-0.0,0.012028,0.0
2.7607079014231e-07,0.0002760428997882,0.184005500981541,0.0,0.0,0.0,0.0,0.0,0.015592,0.0
3.9307479810167e-07,0.0003493630066741,0.207001699147169,0.0,0.0,0.0,0.0,-1e-06,0.019961,0.0
5.39193333136513e-07,0.0004313071267309,0.229996312875353,0.0,0.0,0.0,0.0,0.0,0.024238,0.0
7.17660558574346e-07,0.0005218746327399,0.252989166160159,0.0,0.0,0.0,0.0,-5e-06,0.030205,1e-05
9.31710390137647e-07,0.0006210648314772,0.275980083009131,0.0,0.0,0.0,0.0,-4e-06,0.035292,1e-05
1.18457647119304e-06,0.0007288769637185,0.298968887444632,0.0,0.0,0.0,0.0,-1.2e-05,0.042898,1e-05
1.4794921479956e-06,0.0008453102042458,0.321955403505197,0.0,0.0,0.0,0.0,-1.8e-05,0.050631,2e-05
1.81969044494582e-06,0.0009703636618529,0.344939455246875,0.0,0.0,0.0,0.0,-2.9e-05,0.058534,3e-05
2.20840403984368e-06,0.0011040363793526,0.367920866744576,0.0,0.0,0.0,0.0,-4.3e-05,0.068586,4e-05
2.64886523913491e-06,0.0012463273335838,0.390899462093423,0.0,0.0,0.0,0.0,-5.8e-05,0.078934,5e-05
3.1443059531846e-06,0.0013972354354197,0.41387506541009,0.0,0.0,0.0,0.0,-7.9e-05,0.089339,6e-05
3.69795767152732e-06,0.001556759529776,0.436847500834157,0.0,0.0,0.0,0.0,-9.8e-05,0.101973,8e-05
4.31305143814078e-06,0.0017248983956192,0.459816592529447,0.0,0.0,0.0,0.0,-0.000124,0.115037,0.0001
4.99281782670767e-06,0.0019016507459768,0.482782164685381,0.0,0.0,0.0,0.0,-0.000152,0.128322,0.00012
5.74048691590105e-06,0.0020870152279468,0.505744041518316,0.0,0.0,0.0,0.0,-0.000182,0.14403,0.00014
6.5592882646374e-06,0.0022809904227076,0.528702047272897,0.0,0.0,0.0,0.0,-0.000218,0.160314,0.00018
7.45245088738347e-06,0.0024835748455299,0.551656006223397,0.0,0.0,0.0,0.0,-0.000257,0.17686,0.00021
8.42320322942211e-06,0.0026947669457867,0.574605742675064,0.0,0.0,0.0,0.0,-0.000297,0.196012,0.00025
