thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4.955999042348e-10,3.96451761541749e-06,0.0211425840008949,0.0,0.0,0.0,0.0,0.0,0.00026,-0.0
3.964794681711971e-09,1.58580401173656e-05,0.0422850061762155,0.0,0.0,0.0,0.0,0.0,0.001516,0.0
1.33811564456841e-08,3.56804764724714e-05,0.0634271047016262,0.0,0.0,0.0,0.0,0.0,0.00174,0.0
3.17182117897609e-08,6.34316749596731e-05,0.0845687177552685,0.0,0.0,0.0,0.0,0.0,0.004047,0.0
6.19494190283693e-08,9.91114231711408e-05,0.105709683519,0.0,0.0,0.0,0.0,0.0,0.006096,0.0
1.07048145438223e-07,0.0001427194480134,0.126849840179632,0.0,0.0,0.0,0.0,0.0,0.007853,0.0
1.69987644499287e-07,0.0001942554157104,0.14798902593017,0.0,0.0,0.0,0.0,-0.0,0.011395,0.0
2.53741033139564e-07,0.0002537189318052,0.169127078971049,0.0,0.0,0.0,0.0,0.0,0.014742,0.0
3.61281268974481e-07,0.0003211095411632,0.190263837511375,0.0,0.0,0.0,0.0,-1e-06,0.017898,0.0
4.95581127557522e-07,0.0003964267279762,0.211399139770162,0.0,0.0,0.0,0.0,-0.0,0.022828,0.0
6.59613179622756e-07,0.0004796699157655,0.232532823977571,0.0,0.0,0.0,0.0,-3e-06,0.027188,1e-05
8.56349768333221e-07,0.0005708384673867,0.253664728376145,0.0,0.0,0.0,0.0,-6e-06,0.032733,1e-05
1.0887629865311e-06,0.0006699316850348,0.274794691222054,0.0,0.0,0.0,0.0,-9e-06,0.039324,1e-05
1.35982465399192e-06,0.0007769488102492,0.295922550786324,0.0,0.0,0.0,0.0,-1.6e-05,0.046108,2e-05
1.67250629466803e-06,0.0008918890239196,0.317048145356083,0.0,0.0,0.0,0.0,-2.7e-05,0.053981,2e-05
2.029779113963e-06,0.0010147514462923,0.338171313235794,0.0,0.0,0.0,0.0,-3.7e-05,0.063072,3e-05
2.43461397596831e-06,0.0011455351369771,0.359291892748493,0.0,0.0,0.0,0.0,-5.4e-05,0.072242,4e-05
2.88998138074321e-06,0.0012842390949539,0.380409722237029,0.0,0.0,0.0,0.0,-7.1e-05,0.082484,5e-05
3.39885144156758e-06,0.0014308622585813,0.4015246400653,0.0,0.0,0.0,0.0,-9.1e-05,0.094018,7e-05
3.96419386220737e-06,0.0015854035056038,0.422636484619487,0.0,0.0,0.0,0.0,-0.000115,0.104953,8e-05
4.58897791419352e-06,0.0017478616531611,0.443745094309297,0.0,0.0,0.0,0.0,-0.00014,0.119144,0.0001
5.27617241408832e-06,0.0019182354577966,0.464850307569195,0.0,0.0,0.0,0.0,-0.000168,0.131625,0.00012
6.02874570076706e-06,0.0020965236154674,0.485951962859643,0.0,0.0,0.0,0.0,-0.000199,0.147478,0.00015
6.84966561268702e-06,0.0022827247615538,0.507049898668336,0.0,0.0,0.0,0.0,-0.000234,0.162803,0.00018
7.74189946518979e-06,0.0024768374708703,0.528143953511437,0.0,0.0,0.0,0.0,-0.000272,0.179828,0.00022
8.70841402776494e-06,0.002678860257676,0.549233965934815,0.0,0.0,0.0,0.0,-0.000316,0.19754,0.00025
9.75217550137831e-06,0.0028887915756863,0.570319774515279,0.0,0.0,0.0,0.0,-0.000359,0.216908,0.0003
1.0876149495725e-05,0.0031066298180844,0.591401217861813,0.0,0.0,0.0,0.0,-0.000412,0.236654,0.00035
1.20833010065628e-05,0.0033323733175342,0.612478134616816,0.0,0.0,0.0,0.0,-0.000462,0.258372,0.000419
1.33765943930106e-05,0.003566020346192,0.63355036345733,0.0,0.0,0.0,0.0,-0.000521,0.280403,0.000489
1.47589933548525e-05,0.0038075691157212,0.654617743096282,0.0,0.0,0.0,0.0,-0.000579,0.303821,0.000559
1.623346090986e-05,0.0040570177773048,0.67568011228371,0.0,0.0,0.0,0.0,-0.000642,0.328278,0.000649
1.78029593711013e-05,0.0043143644216598,0.696737309808007,0.0,0.0,0.0,0.0,-0.000707,0.354342,0.000739
1.94704503242885e-05,0.0045796070790523,0.717789174497147,0.0,0.0,0.0,0.0,-0.000778,0.38108,0.000849
2.12388946050929e-05,0.0048527437193118,0.738835545219923,0.0,0.0,0.0,0.0,-0.000841,0.409187,0.000969
2.31112522764914e-05,0.0051337722518475,0.759876260887177,0.0,0.0,0.0,0.0,-0.000919,0.439087,0.001098
2.50904826061022e-05,0.0054226905256639,0.780911160453036,0.0,0.0,0.0,0.0,-0.000995,0.468719,0.001238
2.71795440435416e-05,0.0057194963293774,0.801940082916145,0.0,0.0,0.0,0.0,-0.001081,0.501279,0.001388
2.93813941977741e-05,0.0060241873912328,0.822962867320896,0.0,0.0,0.0,0.0,-0.001163,0.534363,0.001568
3.16989898144804e-05,0.0063367613791216,0.843979352758662,0.0,0.0,0.0,0.0,-0.001257,0.56875,0.001758
3.41352867534268e-05,0.0066572159005988,0.864989378369029,0.0,0.0,0.0,0.0,-0.001347,0.604373,0.001967
3.66932399658351e-05,0.006985548502902,0.885992783341025,0.0,0.0,0.0,0.0,-0.001435,0.641163,0.002187
