thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
5.39213762789331e-10,4.31334363691979e-06,0.0230025362792604,0.0,0.0,0.0,0.0,-0.0,0.000293,-0.0
4.313705149265881e-09,1.72533415321376e-05,0.0460048964919475,0.0,0.0,0.0,0.0,0.0,0.001639,0.0
1.45587270193394e-08,3.88198946401548e-05,0.0690069045728361,0.0,0.0,0.0,0.0,0.0,0.002159,0.0
3.4509482706831e-08,6.90128378857662e-05,0.0920083844593956,0.0,0.0,0.0,0.0,0.0,0.00508,0.0
6.7401101254718e-08,0.0001078319401654,0.115009160093139,0.0,0.0,0.0,0.0,0.0,0.006423,0.0
1.16468612653556e-07,0.0001552769043488,0.138009055420969,0.0,0.0,0.0,0.0,0.0,0.009796,0.0
1.84946923082102e-07,0.0002113473672817,0.161007894396528,0.0,0.0,0.0,0.0,-0.0,0.012673,0.0
2.7607079014231e-07,0.0002760428997882,0.184005500981541,0.0,0.0,0.0,0.0,-0.0,0.016257,0.0
3.9307479810167e-07,0.0003493630066741,0.207001699147169,0.0,0.0,0.0,0.0,-1e-06,0.020848,0.0
5.39193333136513e-07,0.0004313071267309,0.229996312875353,0.0,0.0,0.0,0.0,-2e-06,0.025503,1e-05
7.17660558574346e-07,0.0005218746327399,0.252989166160159,0.0,0.0,0.0,0.0,-5e-06,0.031659,1e-05
9.31710390137647e-07,0.0006210648314772,0.275980083009131,0.0,0.0,0.0,0.0,-1e-05,0.03725,1e-05
1.18457647119304e-06,0.0007288769637185,0.298968887444632,0.0,0.0,0.0,0.0,-1.7e-05,0.044897,2e-05
1.4794921479956e-06,0.0008453102042458,0.321955403505197,0.0,0.0,0.0,0.0,-2.7e-05,0.053179,2e-05
1.81969044494582e-06,0.0009703636618529,0.344939455246875,0.0,0.0,0.0,0.0,-4.1e-05,0.06134,3e-05
2.20840403984368e-06,0.0011040363793526,0.367920866744576,0.0,0.0,0.0,0.0,-5.7e-05,0.071573,4e-05
2.64886523913491e-06,0.0012463273335838,0.390899462093423,0.0,0.0,0.0,0.0,-7.8e-05,0.082476,5e-05
3.1443059531846e-06,0.0013972354354197,0.41387506541009,0.0,0.0,0.0,0.0,-0.000102,0.09339,6e-05
3.69795767152732e-06,0.001556759529776,0.436847500834157,0.0,0.0,0.0,0.0,-0.00013,0.106414,8e-05
4.31305143814078e-06,0.0017248983956192,0.459816592529447,0.0,0.0,0.0,0.0,-0.000163,0.120287,0.0001
4.99281782670767e-06,0.0019016507459768,0.482782164685381,0.0,0.0,0.0,0.0,-0.000201,0.134234,0.00012
5.74048691590105e-06,0.0020870152279468,0.505744041518316,0.0,0.0,0.0,0.0,-0.000243,0.150472,0.00015
6.5592882646374e-06,0.0022809904227076,0.528702047272897,0.0,0.0,0.0,0.0,-0.00029,0.167641,0.00018
7.45245088738347e-06,0.0024835748455299,0.551656006223397,0.0,0.0,0.0,0.0,-0.000343,0.184952,0.00022
8.42320322942211e-06,0.0026947669457867,0.574605742675064,0.0,0.0,0.0,0.0,-0.000401,0.204701,0.00027
