thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4.32095113641075e-10,3.45654554141783e-06,0.018433753944772,0.0,0.0,0.0,0.0,0.0,0.000228,-0.0
3.45675694035603e-09,1.38261557098114e-05,0.0368673667998479,0.0,0.0,0.0,0.0,0.0,0.001413,0.0
1.16665323500414e-08,3.11087511374005e-05,0.0553006974766114,0.0,0.0,0.0,0.0,0.0,0.001533,0.0
2.76539285264347e-08,5.53041995452868e-05,0.0737336048886059,0.0,0.0,0.0,0.0,0.0,0.003675,0.0
5.40113931241333e-08,8.64123157445568e-05,0.0921659479526146,0.0,0.0,0.0,0.0,0.0,0.004858,0.0
9.33312944265917e-08,0.0001244328616374,0.11059758558974,0.0,0.0,0.0,0.0,0.0,0.007684,0.0
1.48205901504413e-07,0.0001693655462193,0.129028376726484,0.0,0.0,0.0,0.0,-0.0,0.009169,0.0
2.21227364374034e-07,0.0002212100255809,0.147458180295827,0.0,0.0,0.0,0.0,0.0,0.012839,0.0
3.14987694159734e-07,0.000279965902911,0.165886855238309,0.0,0.0,0.0,0.0,-1e-06,0.015498,0.0
4.32078743249775e-07,0.0003456327284992,0.184314260503108,0.0,0.0,0.0,0.0,0.0,0.019832,0.0
5.75092185464683e-07,0.0004182099997398,0.202740255049119,0.0,0.0,0.0,0.0,-3e-06,0.023874,0.0
7.4661949621769e-07,0.0004976971611351,0.221164697846037,0.0,0.0,0.0,0.0,-4e-06,0.028753,1e-05
9.49251932680274e-07,0.0005840936043002,0.239587447875431,0.0,0.0,0.0,0.0,-1e-05,0.034226,1e-05
1.18558051394809e-06,0.0006773986679672,0.258008364131827,0.0,0.0,0.0,0.0,-1.3e-05,0.040077,1e-05
1.4581960012116e-06,0.0007776116379907,0.276427305623788,0.0,0.0,0.0,0.0,-2.4e-05,0.047353,2e-05
1.7696888779263e-06,0.0008847317473527,0.29484413137499,0.0,0.0,0.0,0.0,-3.2e-05,0.054471,2e-05
2.122649329983e-06,0.0009987581761692,0.313258700425303,0.0,0.0,0.0,0.0,-4.6e-05,0.062781,3e-05
2.51966722588582e-06,0.0011196900516957,0.33167087183187,0.0,0.0,0.0,0.0,-6e-05,0.072022,4e-05
2.96333209692879e-06,0.0012475264483346,0.350080504670185,0.0,0.0,0.0,0.0,-7.8e-05,0.081494,5e-05
3.45623311737775e-06,0.0013822663876417,0.368487458035172,0.0,0.0,0.0,0.0,-9.7e-05,0.091899,6e-05
4.00095908464536e-06,0.001523908838334,0.386891591042263,0.0,0.0,0.0,0.0,-0.00012,0.103006,8e-05
4.60009839948871e-06,0.0016724527162974,0.405292762828477,0.0,0.0,0.0,0.0,-0.000146,0.115465,9e-05
5.256239046189e-06,0.0018278968845954,0.423690832553498,0.0,0.0,0.0,0.0,-0.000173,0.128118,0.00011
5.9719685727421e-06,0.0019902401534774,0.442085659400751,0.0,0.0,0.0,0.0,-0.000203,0.141933,0.00014
6.74987407107035e-06,0.0021594812803877,0.460477102578484,0.0,0.0,0.0,0.0,-0.000236,0.156493,0.00016
7.59254215719279e-06,0.0023356189699755,0.478865021320843,0.0,0.0,0.0,0.0,-0.000271,0.172508,0.0002
8.50255895145648e-06,0.0025186518741046,0.497249274888948,0.0,0.0,0.0,0.0,-0.00031,0.188131,0.00023
9.48251005871931e-06,0.0027085785918635,0.515629722571973,0.0,0.0,0.0,0.0,-0.000351,0.20696,0.00027
1.05349805485798e-05,0.0029053976695762,0.534006223688222,0.0,0.0,0.0,0.0,-0.000398,0.224225,0.00032
1.16625549355769e-05,0.0031091076008138,0.552378637586204,0.0,0.0,0.0,0.0,-0.000446,0.244594,0.000369
1.28678171594154e-05,0.0033197068264053,0.570746823645712,0.0,0.0,0.0,0.0,-0.000498,0.263898,0.000419
1.41533505651831e-05,0.00353719373445,0.589110641278899,0.0,0.0,0.0,0.0,-0.000551,0.286583,0.000489
1.55217378835911e-05,0.0037615666603298,0.607469949931353,0.0,0.0,0.0,0.0,-0.00061,0.307777,0.000559
1.69755612111824e-05,0.0039928238867218,0.625824609083172,0.0,0.0,0.0,0.0,-0.000666,0.332194,0.000649
1.85174019905988e-05,0.0042309636436114,0.644174478250043,0.0,0.0,0.0,0.0,-0.000732,0.356289,0.000729
2.01498409907948e-05,0.0044759841083061,0.662519416984312,0.0,0.0,0.0,0.0,-0.000793,0.381843,0.000829
2.18754582873041e-05,0.0047278834054493,0.680859284876066,0.0,0.0,0.0,0.0,-0.000857,0.408364,0.000939
2.36968332424859e-05,0.0049866596070345,0.699193941554199,0.0,0.0,0.0,0.0,-0.000924,0.436321,0.001059
2.56165444857758e-05,0.0052523107324205,0.717523246687494,0.0,0.0,0.0,0.0,-0.001,0.464931,0.001188
2.76371698939648e-05,0.0055248347483459,0.735847059985693,0.0,0.0,0.0,0.0,-0.001075,0.494758,0.001328
2.97612865714472e-05,0.0058042295689454,0.754165241200572,0.0,0.0,0.0,0.0,-0.001154,0.526261,0.001488
3.19914708305155e-05,0.0060904930557653,0.772477650127016,0.0,0.0,0.0,0.0,-0.001237,0.557351,0.001658
3.43302981716361e-05,0.0063836230177797,0.790784146604087,0.0,0.0,0.0,0.0,-0.001319,0.591366,0.001837
3.67803432637258e-05,0.0066836172114079,0.809084590516102,0.0,0.0,0.0,0.0,-0.001397,0.625616,0.002047
3.93441799244679e-05,0.006990473340531,0.827378841793704,0.0,0.0,0.0,0.0,-0.001492,0.66056,0.002257
4.20243811005809e-05,0.0073041890565098,0.845666760414933,0.0,0.0,0.0,0.0,-0.001589,0.697762,0.002496
4.48235188481584e-05,0.0076247619582027,0.863948206406299,0.0,0.0,0.0,0.0,-0.001667,0.735029,0.002746
4.77441643129643e-05,0.0079521895919838,0.882223039843852,0.0,0.0,0.0,0.0,-0.001771,0.773801,0.003016
5.07888877107567e-05,0.0082864694517621,0.900491120854254,0.0,0.0,0.0,0.0,-0.001859,0.814186,0.003315
5.39602583076118e-05,0.0086275989790005,0.918752309615849,0.0,0.0,0.0,0.0,-0.001971,0.854964,0.003625
5.72608444002663e-05,0.0089755755627353,0.937006466359733,0.0,0.0,0.0,0.0,-0.002047,0.897356,0.003964
6.06932132964633e-05,0.0093303965395964,0.955253451370826,0.0,0.0,0.0,0.0,-0.0022,0.940434,0.004314
6.42599312952947e-05,0.0096920591938274,0.973493124988938,0.0,0.0,0.0,0.0,-0.002288,0.984696,0.004693
6.79635636675502e-05,0.0100605607573069,0.99172534760984,0.0,0.0,0.0,0.0,-0.0024,1.030574,0.005103
7.18066746361007e-05,0.0104358984095686,1.00994997968633,0.0,0.0,0.0,0.0,-0.002473,1.077087,0.005532
7.57918273562751e-05,0.0108180692778244,1.02816688172931,0.0,0.0,0.0,0.0,-0.002603,1.125492,0.006012
7.99215838962063e-05,0.011207070436985,1.04637591430884,0.0,0.0,0.0,0.0,-0.002713,1.173675,0.006491
8.41985052172832e-05,0.0116028989096834,1.06457693805521,0.0,0.0,0.0,0.0,-0.002846,1.224502,0.00702
8.86251511544842e-05,0.0120055516662967,1.08276981366001,0.0,0.0,0.0,0.0,-0.002967,1.275138,0.007569
9.32040803968167e-05,0.0124150256249701,1.10095440187721,0.0,0.0,0.0,0.0,-0.003086,1.328127,0.008168
9.79378504677505e-05,0.0128313176516401,1.11913056352418,0.0,0.0,0.0,0.0,-0.003198,1.380573,0.008768
0.0001028290177056,0.0132544245600584,1.13729815948282,0.0,0.0,0.0,0.0,-0.003326,1.435805,0.009427
0.0001078801372439,0.0136843431118165,1.15545705070056,0.0,0.0,0.0,0.0,-0.003458,1.490785,0.010116
0.0001130937629923,0.0141210700163705,1.17360709819149,0.0,0.0,0.0,0.0,-0.003582,1.548016,0.010855
0.000118472447616,0.0145646019310661,1.19174816303735,0.0,0.0,0.0,0.0,-0.003701,1.604841,0.011604
0.0001240187425175,0.0150149354611644,1.20988010638865,0.0,0.0,0.0,0.0,-0.003833,1.664332,0.012412
0.0001297351978161,0.0154720671598675,1.22800278946573,0.0,0.0,0.0,0.0,-0.003968,1.723723,0.013261
0.0001356243623287,0.0159359935283456,1.24611607355978,0.0,0.0,0.0,0.0,-0.004086,1.785155,0.01416
0.0001416887835504,0.0164067110157628,1.26421982003394,0.0,0.0,0.0,0.0,-0.004229,1.846234,0.015079
0.0001479310076349,0.0168842160193052,1.28231389032436,0.0,0.0,0.0,0.0,-0.004362,1.90973,0.016057
0.000154353579375,0.017368504884208,1.30039814594123,0.0,0.0,0.0,0.0,-0.00449,1.973164,0.017086
0.0001609590421831,0.0178595739037833,1.31847244846988,0.0,0.0,0.0,0.0,-0.004629,2.038553,0.018174
0.0001677499380719,0.0183574193194492,1.33653665957181,0.0,0.0,0.0,0.0,-0.004773,2.103526,0.019273
0.0001747288076347,0.0188620373207578,1.35459064098576,0.0,0.0,0.0,0.0,-0.004899,2.171002,0.020451
0.0001818981900261,0.0193734240454245,1.37263425452876,0.0,0.0,0.0,0.0,-0.005047,2.238952,0.021699
0.0001892606229425,0.0198915755793581,1.3906673620972,0.0,0.0,0.0,0.0,-0.005173,2.306941,0.022968
0.0001968186426028,0.0204164879566902,1.40868982566789,0.0,0.0,0.0,0.0,-0.005326,2.377482,0.024316
0.0002045747837289,0.0209481571598055,1.4267015072991,0.0,0.0,0.0,0.0,-0.005451,2.447436,0.025704
0.0002125315795262,0.0214865791193732,1.44470226913162,0.0,0.0,0.0,0.0,-0.005594,2.519061,0.027142
0.0002206915616644,0.0220317497143774,1.46269197338982,0.0,0.0,0.0,0.0,-0.005738,2.590966,0.02863
0.0002290572602581,0.0225836647721492,1.48067048238271,0.0,0.0,0.0,0.0,-0.005875,2.664562,0.030207
0.0002376312038471,0.0231423200683983,1.49863765850498,0.0,0.0,0.0,0.0,-0.006013,2.738123,0.031835
0.0002464159193777,0.0237077113272454,1.51659336423807,0.0,0.0,0.0,0.0,-0.006162,2.813056,0.033523
0.0002554139321827,0.0242798342212551,1.5345374621512,0.0,0.0,0.0,0.0,-0.006299,2.889019,0.0353
0.0002646277659624,0.0248586843714687,1.55246981490244,0.0,0.0,0.0,0.0,-0.006438,2.964684,0.037088
0.0002740599427653,0.0254442573474381,1.57039028523976,0.0,0.0,0.0,0.0,-0.006578,3.042493,0.038975
0.0002837129829687,0.0260365486672594,1.58829873600207,0.0,0.0,0.0,0.0,-0.006721,3.119945,0.040922
0.0002935894052594,0.0266355537976072,1.60619503012029,0.0,0.0,0.0,0.0,-0.006863,3.199165,0.042969
0.0003036917266146,0.0272412681537699,1.62407903061837,0.0,0.0,0.0,0.0,-0.006825,3.278783,0.045086
0.0003140224622822,0.0278536870996835,1.64195060061435,0.0,0.0,0.0,0.0,-0.007005,3.358465,0.047243
0.0003245841257622,0.0284728059479688,1.65980960332144,0.0,0.0,0.0,0.0,-0.007076,3.439154,0.04948
0.0003353792287868,0.0290986199599657,1.677655902049,0.0,0.0,0.0,0.0,-0.007323,3.520088,0.051767
0.0003464102813018,0.0297311243457704,1.69548936020366,0.0,0.0,0.0,0.0,-0.007426,3.602565,0.054173
