thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift,drag,power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
5.39155984022591e-10,4.31303550446126e-06,0.0230017146497384,0.0,0.0,0.0,0.0,-0.0,0.000293,-0.0
4.31324292023172e-09,1.72521090070583e-05,0.0460032532517698,0.0,0.0,0.0,0.0,0.0,0.001589,0.0
1.4557167001802e-08,3.8817121476432e-05,0.0690044397597346,0.0,0.0,0.0,0.0,0.0,0.001924,0.0
3.45057849033956e-08,6.9007907860901e-05,0.092005098129968,0.0,0.0,0.0,0.0,0.0,0.004969,0.0
6.73938790233722e-08,0.0001078242370899,0.115005052322847,0.0,0.0,0.0,0.0,0.0,0.005947,0.0
1.16456132726365e-07,0.0001552658120757,0.13800412630414,0.0,0.0,0.0,0.0,0.0,0.009521,0.0
1.84927105583294e-07,0.000211332269716,0.161002144046349,0.0,0.0,0.0,0.0,-0.0,0.012081,0.0
2.76041208619558e-07,0.000276023180896,0.183998929530062,0.0,0.0,0.0,0.0,0.0,0.015626,0.0
3.93032679553464e-07,0.0003493380504924,0.2069943067453,0.0,0.0,0.0,0.0,-1e-06,0.020028,0.0
5.39135558051261e-07,0.0004312763173769,0.229988099692859,0.0,0.0,0.0,0.0,0.0,0.024319,0.0
7.17583660966056e-07,0.0005218373544203,0.252980132385663,0.0,0.0,0.0,0.0,-4e-06,0.030306,1e-05
9.31610557593338e-07,0.0006210204684976,0.275970228850107,0.0,0.0,0.0,0.0,-5e-06,0.035427,1e-05
1.18444954491723e-06,0.0007288249004935,0.298958213127406,0.0,0.0,0.0,0.0,-1.2e-05,0.043033,1e-05
1.47933362286893e-06,0.0008452498253073,0.321943909274942,0.0,0.0,0.0,0.0,-1.9e-05,0.050814,2e-05
1.81949546957983e-06,0.0009702943518603,0.344927141367606,0.0,0.0,0.0,0.0,-3e-05,0.058724,3e-05
2.20816741664044e-06,0.001103957523102,0.367907733499152,0.0,0.0,0.0,0.0,-4.4e-05,0.068794,4e-05
2.64858142435835e-06,0.0012462383160177,0.390885509783538,0.0,0.0,0.0,0.0,-5.9e-05,0.079181,5e-05
3.14396905702506e-06,0.0013971356416359,0.413860294356274,0.0,0.0,0.0,0.0,-8e-05,0.089626,6e-05
3.69756145818366e-06,0.0015566483450373,0.436831911375766,0.0,0.0,0.0,0.0,-0.0001,0.10229,8e-05
