thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
0,0,0,0,0,0,0,0
6.76674498470539e-10,5.4129068308996e-06,0.0288662167860184,0,0,0,0,-0
5.41338977199176e-09,2.16515858918258e-05,0.0577322126211482,0,0,0,0,0
1.82701555192051e-08,4.8715912886833e-05,0.0865977665561916,0,0,0,0,0
4.33069192847067e-08,8.66056806572154e-05,0.115462657645334,0,0,0,0,0
8.45835353844784e-08,0.000135320599182921,0.144326664947833,0,0,0,0,0
1.46159733828405e-07,0.000194860295585376,0.173189567529713,0,0,0,0,0
2.32095089249078e-07,0.000265224314129058,0.202051144465453,0,0,0,0,-0
3.46448989824622e-07,0.000346412116226363,0.230911174839679,0,0,0,0,1e-06
4.93280606211636e-07,0.000438423080441056,0.259769437748854,0,0,0,0,-4e-06
6.76648860468325e-07,0.000541256502492673,0.288625712302973,0,0,0,0,-6e-06
9.00612394991436e-07,0.000654911595262644,0.317479777627245,0,0,0,0,-1.3e-05
1.16922954145257e-06,0.000779387488800256,0.346331412863795,0,0,0,0,-3.2e-05
1.48655828972776e-06,0.000914683230328467,0.375180397173345,0,0,0,0,-5.5e-05
1.85665625683867e-06,0.00106079778425238,0.404026509736909,0,0,0,0,-9.6e-05
2.28358065589818e-06,0.00121773003216617,0.432869529757482,0,0,0,0,-0.000147
2.77138826504785e-06,0.00138547877286231,0.46170923646173,0,0,0,0,-0.000214
3.32413539641636e-06,0.00156404272234041,0.490545409101681,0,0,0,0,-0.000296
3.94587786505952e-06,0.00175342051381692,0.519377826956414,0,0,0,0,-0.000397
4.64067095792356e-06,0.00195361069773645,0.548206269333747,0,0,0,0,-0.000503
5.41256940280719e-06,0.0021646117417815,0.577030515571928,0,0,0,0,-0.000635
6.26562733730901e-06,0.0023864220308855,0.605850345041324,0,0,0,0,-0.000781
7.20389827782757e-06,0.00261903986724442,0.634665537146109,0,0,0,0,-0.000943
8.23143508849649e-06,0.00286246347032965,0.663475871325953,0,0,0,0,-0.001123
9.35228995018946e-06,0.0031166909769023,0.69228112705771,0,0,0,0,-0.001328
1.05705143294946e-05,0.003381720441027,0.721081083857106,0,0,0,0,-0.001547
1.18901589477048e-05,0.00365754983408682,0.749875521280426,0,0,0,0,-0.001786
1.33152737498029e-05,0.00394417704479882,0.778664218926203,0,0,0,0,-0.002049
1.48499078734793e-05,0.0042415998792304,0.807446956436903,0,0,0,0,-0.002323
1.64981096181318e-05,0.00454981606081576,0.836223513500614,0,0,0,0,-0.002623
1.82639264138709e-05,0.00486882323037347,0.86499366985273,0,0,0,0,-0.002932
2.01514047905463e-05,0.00519861894612491,0.893757205277638,0,0,0,0,-0.00327
2.21645903467725e-05,0.00553920068371225,0.922513899610405,0,0,0,0,-0.00359
2.43075277189697e-05,0.00589056583621828,0.951263532738459,0,0,0,0,-0.003968
2.65842605503839e-05,0.00625271171418619,0.98000588460328,0,0,0,0,-0.004364
2.89988314601609e-05,0.00662563554564046,1.00874073520208,0,0,0,0,-0.004791
3.15552820123877e-05,0.00700933447610707,1.03746786458948,0,0,0,0,-0.005226
3.42576526851589e-05,0.00740380556863695,1.06618705287922,0,0,0,0,-0.005643
3.71099828396579e-05,0.00780904580382718,1.09489808024581,0,0,0,0,-0.006139
4.01163106892259e-05,0.00822505207984434,1.12360072692623,0,0,0,0,-0.006658
4.32806732684622e-05,0.00865182121244887,1.1522947732216,0,0,0,0,-0.007177
4.66071064023176e-05,0.0090893499350185,1.18097999949887,0,0,0,0,-0.007655
5.00996446752054e-05,0.0095376348985741,1.20965618619253,0,0,0,0,-0.008206
5.3762321400121e-05,0.009996672671805,1.23832311380623,0,0,0,0,-0.008772
5.75991685877629e-05,0.0104664597410951,1.2669805629145,0,0,0,0,-0.009311
6.16142169156843e-05,0.0109469925105497,1.29562831416442,0,0,0,0,-0.010076
6.58114956974338e-05,0.0114382673020236,1.32426614827731,0,0,0,0,-0.010611
7.01950328516848e-05,0.0119402803551485,1.35289384605038,0,0,0,0,-0.011121
7.47688548714592e-05,0.0124530278273625,1.38151118835846,0,0,0,0,-0.011889
7.95369867932873e-05,0.0129765057939388,1.41011795615561,0,0,0,0,-0.012501
8.4503452166357e-05,0.0135107102480163,1.43871393047684,0,0,0,0,-0.013305
