thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0.000379627419632858,0.0367911650675788,2.37085404172847,0,0,0,0,-0.027383
0.000390772412354372,0.037505852477883,2.3934661012178,0,0,0,0,-0.027668
0.000402132840507313,0.0382273221211991,2.41606643652684,0,0,0,0,-0.028292
0.000413710738343594,0.0389555704634721,2.43865493694985,0,0,0,0,-0.028467
0.000425508139049856,0.0396905939374426,2.4612314918391,0,0,0,0,-0.028701
0.000437527074737554,0.0404323889426636,2.48379599060533,0,0,0,0,-0.029088
0.000449769576432942,0.0411809518455185,2.50634832271836,0,0,0,0,-0.029833
0.000462237674067178,0.0419362789792386,2.5288883777076,0,0,0,0,-0.029972
0.000474933396466355,0.0426983666439212,2.5514160451626,0,0,0,0,-0.030357
0.000487858771341559,0.0434672111065478,2.57393121473359,0,0,0,0,-0.030112
0.000501015825278949,0.0442428086010026,2.59643377613203,0,0,0,0,-0.030861
0.00051440658372983,0.0450251553280902,2.61892361913111,0,0,0,0,-0.031152
0.000528033071000707,0.0458142474555551,2.64140063356635,0,0,0,0,-0.031771
0.000541897310243407,0.0466100811180996,2.66386470933611,0,0,0,0,-0.032037
0.000556001323445142,0.0474126524174036,2.6863157364021,0,0,0,0,-0.032735
0.000570347131418624,0.0482219574221433,2.70875360478997,0,0,0,0,-0.032496
0.000584936753792155,0.0490379921680101,2.73117820458982,0,0,0,0,-0.032297
0.00059977220899968,0.0498607526577306,2.75358942595676,0,0,0,0,-0.03292
0.000614855514271062,0.0506902348610859,2.7759871591114,0,0,0,0,-0.032851
0.000630188685621971,0.0515264347149315,2.79837129434047,0,0,0,0,-0.033744
0.000645773737844218,0.0523693481232169,2.82074172199725,0,0,0,0,-0.033977
0.000661612684495778,0.0532189709570058,2.84309833250221,0,0,0,0,-0.03431
0.000677707537890914,0.0540752990544967,2.86544101634348,0,0,0,0,-0.034317
0.000694060309090392,0.0549383282210425,2.88776966407743,0,0,0,0,-0.034841
0.000710673007891551,0.055808054229172,2.91008416632915,0,0,0,0,-0.035185
