thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0,0,0,0,0,0,0,0,0
5.39213001759388e-10,4.31333957903189e-06,0.0230025254591731,0,0,0,0,0,-0
4.31369906175951e-09,1.72533253007111e-05,0.0460048748520215,0,0,0,0,0,0
1.4558706474708e-08,3.88198581196642e-05,0.0690068721135681,0,0,0,0,0,0
3.45094340082463e-08,6.90127729609361e-05,0.0920083411815312,0,0,0,0,0,0
6.74010061413717e-08,0.000107831838721366,0.115009105997672,0,0,0,0,0,0
1.16468448299438e-07,0.000155276758271467,0.138008990509142,0,0,0,0,0,0
1.84946662095754e-07,0.000211347168457547,0.16100781866983,0,0,0,0,0,-0
2.7607040056683e-07,0.000276042640104345,0.184005414441713,0,0,0,0,0,1e-06
3.93074243419839e-07,0.000349362678018902,0.207001601796198,0,0,0,0,0,-5e-06
5.39192572266401e-07,0.000431306720993569,0.229996204715473,0,0,0,0,0,0
7.17659545869796e-07,0.000521874141810886,0.252989047193856,0,0,0,0,0,-1.7e-05
9.31709075391702e-07,0.00062106424724821,0.275979953239136,0,0,0,0,0,-2.1e-05
1.18457479963501e-06,0.000728876278082847,0.298968746873927,0,0,0,0,0,-4.8e-05
1.47949006029642e-06,0.000845309409098059,0.32195525213701,0,0,0,0,0,-7.7e-05
1.81968787721319e-06,0.000970362749089568,0.344939293084683,0,0,0,0,0,-0.000119
2.20840092362793e-06,0.00110403534087169,0.367920693792105,0,0,0,0,0,-0.000177
2.64886150142897e-06,0.00124632616128571,0.390899278354645,0,0,0,0,0,-0.000238
3.14430151642109e-06,0.00139723412120653,0.413874870889227,0,0,0,0,0,-0.000321
3.69795245358637e-06,0.00155675806555191,0.436847295535677,0,0,0,0,0,-0.000403
4.31304535234318e-06,0.00172489677329101,0.459816376458068,0,0,0,0,0,-0.000507
4.99281078182074e-06,0.00190164895745359,0.482781937846068,0,0,0,0,0,-0.000624
5.74047881613766e-06,0.00208701326513995,0.505743803916282,0,0,0,0,0,-0.000748
6.55927900966281e-06,0.00228098827753167,0.528701798913602,0,0,0,0,0,-0.000895
7.45244037230557e-06,0.00248357250990187,0.551655747112549,0,0,0,0,0,-0.001057
8.42319134480314e-06,0.0026947644116266,0.574605472818618,0,0,0,0,0,-0.001226
9.47475977399998e-06,0.00291456236619735,0.597550800369627,0,0,0,0,0,-0.001418
1.06103728881508e-05,0.00314296469123282,0.620491554137055,0,0,0,0,0,-0.001626
1.18332572722117e-05,0.00337996963849204,0.643427558527392,0,0,0,0,0,-0.001842
1.31466388431394e-05,0.00362557539388764,0.66635863798348,0,0,0,0,0,-0.002083
1.45537428252173e-05,0.00387978007749978,0.689284616985857,0,0,0,0,0,-0.00234
1.60577937253568e-05,0.00414258174359083,0.712205320054102,0,0,0,0,0,-0.002604
1.7662015308396e-05,0.00441397838061948,0.735120571748176,0,0,0,0,0,-0.002895
1.93696305724735e-05,0.00469396791125717,0.758030196669767,0,0,0,0,0,-0.003194
2.11838617243151e-05,0.00498254819240317,0.780934019463631,0,0,0,0,0,-0.003485
2.31079301545823e-05,0.00527971701520132,0.803831864818935,0,0,0,0,0,-0.003818
2.51450564132216e-05,0.00558547210505692,0.826723557470599,0,0,0,0,0,-0.004161
2.7298460184817e-05,0.00589981112165413,0.849608922200636,0,0,0,0,0,-0.004533
2.95713602639332e-05,0.00622273165897387,0.872487783839496,0,0,0,0,0,-0.004904
3.19669745304797e-05,0.00655423124531231,0.895359967267402,0,0,0,0,0,-0.005308
3.44885199250978e-05,0.00689430734329943,0.918225297415697,0,0,0,0,0,-0.005658
3.71392124245121e-05,0.007242957349919,0.941083599268179,0,0,0,0,0,-0.00613
3.99222670169294e-05,0.00760017859652826,0.963934697862442,0,0,0,0,0,-0.006573
4.28408976774417e-05,0.00796596834887817,0.986778418291214,0,0,0,0,0,-0.007051
4.5898317343387e-05,0.00834032380713456,1.0096145857037,0,0,0,0,0,-0.007455
4.90977378898075e-05,0.0087232421058994,1.03244302530692,0,0,0,0,0,-0.007953
5.24423701048283e-05,0.00911472031423283,1.05526356236703,0,0,0,0,0,-0.008436
5.59354236650897e-05,0.00951475543567581,1.07807602221069,0,0,0,0,0,-0.008973
5.95801071111827e-05,0.00992334440827264,1.10088023022638,0,0,0,0,0,-0.009415
6.33796278231049e-05,0.0103404841045943,1.12367601186574,0,0,0,0,0,-0.010136
6.73371919956803e-05,0.0107661713317634,1.1464631926449,0,0,0,0,0,-0.010581
7.14560046140307e-05,0.0112004028314772,1.16924159814584,0,0,0,0,0,-0.011056
7.57392694290701e-05,0.0116431752800336,1.1920110540177,0,0,0,0,0,-0.011713
8.01901889329368e-05,0.0120944852883561,1.21477138597811,0,0,0,0,0,-0.012275
8.48119643345152e-05,0.01255432940202,1.23752241981455,0,0,0,0,0,-0.01295
8.96077955349067e-05,0.0130227041012784,1.26026398138567,0,0,0,0,0,-0.013541
9.45808811029874e-05,0.0134996058010898,1.28299589662261,0,0,0,0,0,-0.014151
9.97344182508394e-05,0.0139850308511451,1.30571799153037,0,0,0,0,0,-0.014792
0.000105071602809367,0.0144789755358953,1.3284300921891,0,0,0,0,0,-0.015479
