thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0,0,0,0,0,0,0,0
4.61994736869817e-10,3.69575624272668e-06,0.0197096170003481,0,0,0,0,0
3.69595365146081e-09,1.47829966843707e-05,0.0394190831480368,0,0,0,0,0
1.24738197054714e-08,3.326163646586e-05,0.0591282475915611,0,0,0,0,0
2.95674934293919e-08,5.91315341562301e-05,0.0788369594817251,0,0,0,0,0
5.77488117052257e-08,9.2392491753374e-05,0.0985450679727971,0,0,0,0,0
9.97895265546543e-08,0.000133044254686187,0.118252422223663,0,0,0,0,0
1.58461283920711e-07,0.000181086511815533,0.137958871398982,0,0,0,0,-0
2.36535602459507e-07,0.000236518895437885,0.157664264670341,0,0,0,0,-0
3.36783852321066e-07,0.000299340981286834,0.177368451217407,0,0,0,0,-3e-06
4.61977233943564e-07,0.000369552288537477,0.197071280229084,0,0,0,0,-5e-06
6.14886756840866e-07,0.000447152279809426,0.216772600904667,0,0,0,0,-1.4e-05
7.98283218393832e-07,0.000532140361170769,0.236472262454994,0,0,0,0,-2.6e-05
1.01493718264498e-06,0.000624515882143542,0.256170114103601,0,0,0,0,-4.6e-05
1.26761895908893e-06,0.00072427813570748,0.27586600508788,0,0,0,0,-7.4e-05
1.55909858147674e-06,0.000831426358306561,0.295559784660225,0,0,0,0,-0.000114
1.89214578660425e-06,0.00094595972985393,0.315251302089193,0,0,0,0,-0.000165
2.26952999312222e-06,0.00106787737373888,0.334940406660655,0,0,0,0,-0.000229
2.69402028034065e-06,0.00119717835683305,0.354626947678948,0,0,0,0,-0.000305
3.16838536702218e-06,0.00133386168949796,0.374310774468031,0,0,0,0,-0.000394
3.69539359020648e-06,0.00147792632559228,0.393991736372636,0,0,0,0,-0.000494
4.27781288401366e-06,0.00162937116247998,0.413669682759422,0,0,0,0,-0.000607
4.91841075845953e-06,0.00178819504103871,0.433344463018131,0,0,0,0,-0.000732
5.61995427827657e-06,0.00195439674566888,0.453015926562734,0,0,0,0,-0.000872
6.38521004173333e-06,0.00212797500430271,0.472683922832588,0,0,0,0,-0.001028
7.21694415945968e-06,0.00230892848841385,0.492348301293591,0,0,0,0,-0.0012
8.11792223328289e-06,0.00249725581302819,0.512008911439326,0,0,0,0,-0.00139
