thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
9.75217550137831e-06,0.00288879157568632,0.570319774515279,0,0,0,0,0,-0.001439
1.0876149495725e-05,0.00310662981808448,0.591401217861813,0,0,0,0,0,-0.001652
1.20833010065628e-05,0.00333237331753421,0.612478134616816,0,0,0,0,0,-0.001851
1.33765943930106e-05,0.00356602034619203,0.63355036345733,0,0,0,0,0,-0.002086
1.47589933548525e-05,0.00380756911572128,0.654617743096282,0,0,0,0,0,-0.002318
1.623346090986e-05,0.00405701777730483,0.67568011228371,0,0,0,0,0,-0.002573
1.78029593711013e-05,0.00431436442165986,0.696737309808007,0,0,0,0,0,-0.002833
1.94704503242885e-05,0.0045796070790523,0.717789174497147,0,0,0,0,0,-0.003117
2.12388946050929e-05,0.00485274371931184,0.738835545219923,0,0,0,0,0,-0.003371
2.31112522764914e-05,0.00513377225184752,0.759876260887177,0,0,0,0,0,-0.003684
2.50904826061022e-05,0.00542269052566394,0.780911160453036,0,0,0,0,0,-0.003986
2.71795440435416e-05,0.00571949632937743,0.801940082916145,0,0,0,0,0,-0.004331
2.93813941977741e-05,0.00602418739123289,0.822962867320896,0,0,0,0,0,-0.004661
3.16989898144804e-05,0.00633676137912164,0.843979352758662,0,0,0,0,0,-0.005035
3.41352867534268e-05,0.0066572159005988,0.864989378369029,0,0,0,0,0,-0.005397
3.66932399658351e-05,0.00698554850290201,0.885992783341025,0,0,0,0,0,-0.005752
3.93758034717719e-05,0.00732175667296973,0.906989406914355,0,0,0,0,0,-0.006177
4.21859303375256e-05,0.00766583783746091,0.927979088380625,0,0,0,0,0,-0.006599
4.51265726530281e-05,0.00801778936277455,0.948961667084582,0,0,0,0,0,-0.006965
4.82006815092352e-05,0.0083776085550697,0.969936982425331,0,0,0,0,0,-0.007414
5.14112069755379e-05,0.00874529266028614,0.990904873857576,0,0,0,0,0,-0.007829
5.47610980772268e-05,0.0091208388641657,1.01186518089284,0,0,0,0,0,-0.008318
5.82533027728464e-05,0.00950424429227352,1.0328177431007,0,0,0,0,0,-0.00868
6.18907679316985e-05,0.00989550601002025,1.05376240011001,0,0,0,0,0,-0.009362
6.56764393112472e-05,0.0102946210226842,1.07469899161013,0,0,0,0,0,-0.00976
6.96132615345827e-05,0.0107015862754347,1.09562735735216,0,0,0,0,0,-0.010113
7.37041780679052e-05,0.0111163986533551,1.11654733715015,0,0,0,0,0,-0.010705
7.79521311979494e-05,0.011539054981467,1.13745877088234,0,0,0,0,0,-0.011195
8.2360062009504e-05,0.0119695520247537,1.15836149849238,0,0,0,0,0,-0.011805
8.69309103628799e-05,0.0124078864881865,1.17925535999057,0,0,0,0,0,-0.012311
9.16676148714255e-05,0.0128540550167483,1.20014019545505,0,0,0,0,0,-0.012891
9.65731128790096e-05,0.0133080541954601,1.22101584503306,0,0,0,0,0,-0.013367
0.000101650340437572,0.0137698805494073,1.24188214894214,0,0,0,0,0,-0.01399
0.00010690223228462,0.0142395305437657,1.26273894747138,0,0,0,0,0,-0.014557
0.000112331721820774,0.0147170005838292,1.28358608098259,0,0,0,0,0,-0.01517
0.000117941741087338,0.0152022870150365,1.3044233899116,0,0,0,0,0,-0.015686
0.000123735220743818,0.0156953861229999,1.3252507147694,0,0,0,0,0,-0.016329
0.000129715090045532,0.0161962941335335,1.34606789614341,0,0,0,0,0,-0.016925
0.00013588427682115,0.0167050072126816,1.36687477469871,0,0,0,0,0,-0.017514
0.000142245707450329,0.0172215214667486,1.3876711911792,0,0,0,0,0,-0.01814
0.000148802306841251,0.0177458329423288,1.40845698640888,0,0,0,0,0,-0.018738
0.000155556998408322,0.0182779376263362,1.42923200129305,0,0,0,0,0,-0.01939
0.000162512704049707,0.0188178314460355,1.4499960768195,0,0,0,0,0,-0.02004
0.000169672344125034,0.0193655102690736,1.47074905405977,0,0,0,0,0,-0.020652
0.000177038837432998,0.0199209699035104,1.49149077417035,0,0,0,0,0,-0.021331
0.000184615101189042,0.0204842060978518,1.51222107839386,0,0,0,0,0,-0.021947
0.000192404051003038,0.0210552145410816,1.53293980806035,0,0,0,0,0,-0.02261
0.00020040860085693,0.021633990862695,1.5536468045884,0,0,0,0,0,-0.023291
0.000208631663082474,0.0222205306327314,1.57434190948645,0,0,0,0,0,-0.023938
0.000217076148338927,0.0228148293618087,1.59502496435393,0,0,0,0,0,-0.024638
0.000225744965590772,0.0234168825011581,1.6156958108825,0,0,0,0,0,-0.02526
0.000234641022085453,0.0240266854426579,1.63635429085727,0,0,0,0,0,-0.025934
0.000243767223331111,0.0246442335188697,1.65700024615801,0,0,0,0,0,-0.026593
0.000253126473074377,0.0252695220030735,1.67763351876035,0,0,0,0,0,-0.027337
0.000262721673278118,0.0259025461093044,1.69825395073699,0,0,0,0,0,-0.027983
0.000272555724099215,0.0265433009923888,1.7188613842589,0,0,0,0,0,-0.02867
0.000282631523866416,0.0271917817479816,1.73945566159656,0,0,0,0,0,-0.029348
