thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0,0,0,0,0,0,0,0
5.39155984022591e-10,4.31303550446126e-06,0.0230017146497384,0,0,0,0,-0
4.31324292023172e-09,1.72521090070583e-05,0.0460032532517698,0,0,0,0,0
1.4557167001802e-08,3.8817121476432e-05,0.0690044397597346,0,0,0,0,0
3.45057849033956e-08,6.9007907860901e-05,0.092005098129968,0,0,0,0,0
6.73938790233722e-08,0.000107824237089963,0.115005052322847,0,0,0,0,0
1.16456132726365e-07,0.000155265812075798,0.13800412630414,0,0,0,0,0
1.84927105583294e-07,0.000211332269716017,0.161002144046349,0,0,0,0,-0
2.76041208619558e-07,0.000276023180896045,0.183998929530062,0,0,0,0,1e-06
3.93032679553464e-07,0.000349338050492495,0.2069943067453,0,0,0,0,-5e-06
5.39135558051261e-07,0.000431276317376923,0.229988099692859,0,0,0,0,0
7.17583660966056e-07,0.000521837354420334,0.252980132385663,0,0,0,0,-1.7e-05
9.31610557593338e-07,0.000621020468497685,0.275970228850107,0,0,0,0,-2.1e-05
1.18444954491723e-06,0.000728824900493517,0.298958213127406,0,0,0,0,-4.8e-05
1.47933362286893e-06,0.000845249825307335,0.321943909274942,0,0,0,0,-7.7e-05
1.81949546957983e-06,0.000970294351860362,0.344927141367606,0,0,0,0,-0.000119
2.20816741664044e-06,0.00110395752310205,0.367907733499152,0,0,0,0,-0.000177
2.64858142435835e-06,0.00124623831601772,0.390885509783538,0,0,0,0,-0.000238
3.14396905702506e-06,0.00139713564163591,0.413860294356274,0,0,0,0,-0.000321
3.69756145818366e-06,0.00155664834503732,0.436831911375766,0,0,0,0,-0.000403
4.31258932589465e-06,0.001724775205363,0.459800185024664,0,0,0,0,-0.000507
4.99228288801153e-06,0.00190151493582418,0.48276493951121,0,0,0,0,-0.000624
5.73987187745731e-06,0.00208686618371209,0.505725999070575,0,0,0,0,-0.000748
6.558585507505e-06,0.00228082753040802,0.528683187966216,0,0,0,0,-0.000895
7.45165244706392e-06,0.00248339749139416,0.55163633049121,0,0,0,0,-0.001057
8.42230079596699e-06,0.00269457451626556,0.574585250969606,0,0,0,0,-0.001226
9.4737580602639e-06,0.0029143569887413,0.597529773757766,0,0,0,0,-0.001418
1.06092511275162e-05,0.0031427432266772,0.620469723245711,0,0,0,0,-0.001626
1.18320062421063e-05,0.00337973148207866,0.643404923858466,0,0,0,0,-0.001842
1.31452489805381e-05,0.00362531994111397,0.666335200057399,0,0,0,0,-0.002083
1.45522042267558e-05,0.00387950672412827,0.689260376341571,0,0,0,0,-0.00234
1.60560961474547e-05,0.00414228988565775,0.712180277249075,0,0,0,0,-0.002604
1.76601481674153e-05,0.00441366741444511,0.735094727358379,0,0,0,0,-0.002895
1.93675829448084e-05,0.00469363723345397,0.758003551289672,0,0,0,0,-0.003194
2.11816223465681e-05,0.0049821971998858,0.780906573706202,0,0,0,0,-0.003485
2.31054874236909e-05,0.00527934510519549,0.80380361931562,0,0,0,0,-0.003818
2.51423983866212e-05,0.00558507867510905,0.826694512871323,0,0,0,0,-0.004161
2.72955745805751e-05,0.00589939556963997,0.849579079173792,0,0,0,0,-0.004533
2.95682344609123e-05,0.00622229338310838,0.872457143071937,0,0,0,0,-0.004904
3.19635955685071e-05,0.00655376964415846,0.895328529464432,0,0,0,0,-0.005308
3.44848745051218e-05,0.00689382181577778,0.918193063301062,0,0,0,0,-0.005658
3.71352869087707e-05,0.00724244729531662,0.941050569584057,0,0,0,0,-0.00613
3.99180474291355e-05,0.00759964341450797,0.963900873369434,0,0,0,0,-0.006573
4.28363697029417e-05,0.00796540743948807,0.986743799768337,0,0,0,0,-0.007051
4.5893466329372e-05,0.00833973657081676,1.00957917394837,0,0,0,0,-0.007455
4.90925488454676e-05,0.00872262794349982,1.03240682113495,0,0,0,0,-0.007953
5.24368277015679e-05,0.00911407862700992,1.05522656661262,0,0,0,0,-0.008436
5.59295122367148e-05,0.00951408562530994,1.0780382357264,0,0,0,0,-0.008973
5.95738106541126e-05,0.00992264587687526,1.10084165388315,0,0,0,0,-0.009415
6.33729299965514e-05,0.0103397562547173,1.12363664655284,0,0,0,0,-0.010136
6.73300761218712e-05,0.0107654135664079,1.14642303926995,0,0,0,0,-0.010581
7.14484536784285e-05,0.0111996145541033,1.16920065763479,0,0,0,0,-0.011056
7.57312660805831e-05,0.0116423558945689,1.1919693273148,0,0,0,0,-0.011713
8.01817154841343e-05,0.0120936341992054,1.21472887404594,0,0,0,0,-0.012275
8.48030027618658e-05,0.0125534460140741,1.23747912363396,0,0,0,0,-0.01295
8.95983274789938e-05,0.0130217878199239,1.26021990195579,0,0,0,0,-0.013541
9.45708878687589e-05,0.0134986560322172,1.28295103496085,0,0,0,0,-0.014151
9.97238808078427e-05,0.0139840470011588,1.30567234867238,0,0,0,0,-0.014792
0.00010506050179198,0.0144779570117227,1.32838366918877,0,0,0,0,-0.015479
0.000110583944911482,0.0149803822836807,1.35108482268489,0,0,0,0,-0.016139
0.000116297402826772,0.0154913189716321,1.37377563541343,0,0,0,0,-0.016777
0.000122204066743964,0.016010763165032,1.39645593370624,0,0,0,0,-0.017472
0.000128307126390428,0.0165387108882222,1.41912554397562,0,0,0,0,-0.018184
0.000134609769990399,0.0170751581004609,1.44178429271568,0,0,0,0,-0.01884
0.000141115184240564,0.0176201006959543,1.46443200650367,0,0,0,0,-0.019583
0.000147826554285633,0.0181735345038874,1.48706851200129,0,0,0,0,-0.020254
0.000154747063694046,0.0187354552884563,1.50969363595602,0,0,0,0,-0.02102
0.000161879894433524,0.0193058587489004,1.53230720520246,0,0,0,0,-0.021705
0.000169228226846762,0.0198847405195358,1.55490904666365,0,0,0,0,-0.022499
0.000176795239627065,0.0204720961697878,1.57749898735238,0,0,0,0,-0.023212
0.000184584109794046,0.0210679212042258,1.60007685437252,0,0,0,0,-0.024021
0.00019259801266928,0.021672211062597,1.62264247492036,0,0,0,0,-0.024752
0.00020084012185201,0.0222849611198618,1.64519567628593,0,0,0,0,-0.025572
0.000209313609194876,0.0229061666862289,1.66773628585428,0,0,0,0,-0.026308
0.00021802164477962,0.023535823007191,1.69026413110686,0,0,0,0,-0.027091
0.00022696739689282,0.0241739252635618,1.71277903962281,0,0,0,0,-0.027871
0.00023615403200164,0.0248204685715123,1.73528083908027,0,0,0,0,-0.028722
0.000245584714729639,0.0254754479826086,1.75776935725774,0,0,0,0,-0.029493
0.000255262607832474,0.0261388584838493,1.78024442203533,0,0,0,0,-0.030301
0.000265190872173756,0.0268106949977046,1.80270586139616,0,0,0,0,-0.031096
0.00027537266670084,0.0274909523821544,1.82515350342762,0,0,0,0,-0.031916
0.000285811148420615,0.0281796254307278,1.84758717632267,0,0,0,0,-0.032735
0.00029650947237539,0.0288767088725434,1.87000670838124,0,0,0,0,-0.033562
0.000307470791618731,0.0295821973723496,1.89241192801144,0,0,0,0,-0.033653
0.000318698257191308,0.0302960855305648,1.91480266373096,0,0,0,0,-0.034602
0.000330195018096798,0.0310183678833189,1.93717874416831,0,0,0,0,-0.035227
0.000341964221277777,0.0317490389024962,1.9595399980642,0,0,0,0,-0.036409
0.000354009011591649,0.0324880929957759,1.98188625427281,0,0,0,0,-0.037153
0.000366332531786541,0.0332355245066763,2.00421734176308,0,0,0,0,-0.038038
0.00037893792247728,0.0339913277145979,2.02653308962008,0,0,0,0,-0.038796
0.000391828322121358,0.0347554968348665,2.04883332704626,0,0,0,0,-0.039756
0.000405006866994881,0.0355280260187781,2.07111788336281,0,0,0,0,-0.04059
0.000418476691168595,0.0363089093536433,2.09338658801091,0,0,0,0,-0.041504
0.000432240926483894,0.037098140862833,2.11563927055308,0,0,0,0,-0.041912
0.000446302702528854,0.0378957145058236,2.13787576067446,0,0,0,0,-0.042927
0.000460665146614209,0.0387016241782438,2.16009588818413,0,0,0,0,-0.043944
0.000475331383749577,0.0395158637119206,2.18229948301639,0,0,0,0,-0.044828
0.000490304536619342,0.0403384268749274,2.2044863752321,0,0,0,0,-0.045003
0.000505587725558925,0.0411693073716307,2.22665639501992,0,0,0,0,-0.046049
0.000521184068530787,0.0420084988427394,2.24880937269769,0,0,0,0,-0.04676
0.000537096681100633,0.0428559948653524,2.27094513871364,0,0,0,0,-0.047817
0.000553328676413542,0.0437117889530083,2.29306352364777,0,0,0,0,-0.048817
0.000569883165170135,0.0445758745557354,2.31516435821309,0,0,0,0,-0.049264
0.000586763255602769,0.045448245060101,2.33724747325694,0,0,0,0,-0.049499
0.000603972053451749,0.0463288937892625,2.35931269976227,0,0,0,0,-0.05066
0.000621512661941568,0.0472178140030184,2.38135986884896,0,0,0,0,-0.051082
0.000639388181757141,0.0481149988978603,2.40338881177509,0,0,0,0,-0.052466
0.00065760171102008,0.049020441607024,2.42539935993822,0,0,0,0,-0.052875
0.000676156345264991,0.0499341352005433,2.44739134487673,0,0,0,0,-0.05383
0.000695055177415755,0.0508560726853018,2.46936459827104,0,0,0,0,-0.054337
0.000714301297761883,0.0517862470050873,2.49131895194496,0,0,0,0,-0.055535
0.000733897793934882,0.0527246510406455,2.51325423786695,0,0,0,0,-0.05555
0.000753847750884541,0.0536712776097347,2.53517028815141,0,0,0,0,-0.056656
0.000774154250855409,0.0546261194671801,2.55706693505994,0,0,0,0,-0.057069
0.000794820373363147,0.0555891693049301,2.57894401100269,0,0,0,0,-0.058263
0.000815849195171009,0.0565604197521119,2.60080134853955,0,0,0,0,-0.059077
0.000837243790266256,0.0575398633750877,2.62263878038152,0,0,0,0,-0.059925
0.000859007229836644,0.0585274926775116,2.64445613939194,0,0,0,0,-0.060328
0.00088114258224687,0.0595233001003877,2.66625325858777,0,0,0,0,-0.062669
0.000903652913015199,0.0605272780221269,2.6880299711409,0,0,0,0,-0.062828
0.000926541284789859,0.0615394187586061,2.70978611037938,0,0,0,0,-0.063328
0.000949810757325745,0.0625597145632262,2.73152150978874,0,0,0,0,-0.064392
0.000973464387460886,0.0635881576269723,2.75323600301325,0,0,0,0,-0.064796
0.000997505229093097,0.0646247400784729,2.77492942385718,0,0,0,0,-0.06584
0.0010219363331566,0.0656694539840599,2.79660160628607,0,0,0,0,-0.065458
0.0010467607475987,0.06672229134783,2.81825238442803,0,0,0,0,-0.065809
0.00107198151735641,0.0677832441117058,2.83988159257499,0,0,0,0,-0.067371
0.00109760168433315,0.0688523041554966,2.86148906518396,0,0,0,0,-0.06725
0.00112362428737553,0.0699294632969616,2.88307463687831,0,0,0,0,-0.066505
0.00115005236224998,0.0710147132918722,2.90463814244904,0,0,0,0,-0.067889
0.00117688894161964,0.0721080458340748,2.92617941685603,0,0,0,0,-0.068003
0.00120413705502107,0.0732094525555545,2.94769829522931,0,0,0,0,-0.069655
0.00123179972884105,0.0743189250264998,2.96919461287032,0,0,0,0,-0.070312
0.00125987998629351,0.0754364547553658,2.99066820525319,0,0,0,0,-0.071428
0.00128838084739625,0.0765620331889405,3.01211890802595,0,0,0,0,-0.072185
0.00131730532894797,0.0776956517124094,3.03354655701185,0,0,0,0,-0.073175
0.0013466564445051,0.0788373016494219,3.05495098821057,0,0,0,0,-0.074022
0.00137643720435872,0.0799869742621575,3.0763320377995,0,0,0,0,-0.074845
0.0014066506155116,0.0811446607513928,3.09768954213498,0,0,0,0,-0.075576
0.00143729968165511,0.0823103522565687,3.11902333775355,0,0,0,0,-0.076309
0.00146838740314624,0.0834840398558582,3.14033326137322,0,0,0,0,-0.07703
0.0014999167769847,0.0846657145662349,3.16161914989472,0,0,0,0,-0.077735
0.00153189079678989,0.0858553673435415,3.1828808404027,0,0,0,0,-0.078476
0.00156431245277806,0.0870529890825595,3.20411817016706,0,0,0,0,-0.079284
0.00159718473173936,0.0882585706170782,3.22533097664411,0,0,0,0,-0.080146
0.00163051061701509,0.0894721027199651,3.24651909747787,0,0,0,0,-0.080976
0.00166429308847471,0.090693576103237,3.2676823705013,0,0,0,0,-0.081922
0.00169853512249318,0.0919229814181303,3.28882063373753,0,0,0,0,-0.082828
0.00173323969192809,0.0931603092551734,3.30993372540112,0,0,0,0,-0.083764
