thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
0,0,0,-0,-0,-0,0,0
5.3921572976091e-10,4.31335412649121e-06,0.0230025642492331,-1.75959426732717e-11,-1.4075544523867e-07,-0.000750631186250143,0,0
4.31372088503851e-09,1.72533834906735e-05,0.0460049524312507,-1.40767532286552e-10,-5.63021721990296e-07,-0.00150126205778433,0,0
1.45587801274498e-08,3.88199890461724e-05,0.0690069884801851,-4.75090371628487e-10,-1.26679865306356e-06,-0.00225189229988673,0,0
3.45096085925232e-08,6.9013005717157e-05,0.0920084963328638,-1.1261399751122e-09,-2.25208594363654e-06,-0.00300252159784179,0,0
6.74013471233549e-08,0.00010783220239884,0.115009299930157,-2.19949172375036e-09,-3.51888318036221e-06,-0.00375314963693435,0,0
1.16469037512086e-07,0.000155277281959732,0.138009223218327,-3.80072082260535e-09,-5.06718983226296e-06,-0.00450377610244975,0,0
1.8494759773539e-07,0.000211347881243639,0.161008090150371,-6.03540225398084e-09,-6.89700525013422e-06,-0.00525440067967403,0,-0
2.76071797195588e-07,0.000276043571072546,0.184005724687375,-9.00911073534509e-09,-9.00832866676812e-06,-0.006005023053894,0,1e-06
3.93076231956866e-07,0.000349363856249991,0.207001950799856,-1.28274206749248e-08,-1.14011591969535e-05,-0.0067556429103974,0,-5e-06
5.39195299992251e-07,0.000431308175564573,0.229996592469112,-1.75959061256976e-08,-1.40754958375504e-05,-0.00750625993447301,0,0
7.17663176425459e-07,0.0005218759017947,0.252989473688571,-2.34201407434606e-08,-1.70313374671919e-05,-0.00825687381141083,0,-1.7e-05
9.31713788770289e-07,0.00062106634171285,0.275980418465131,-3.04056977399496e-08,-2.02686828465825e-05,-0.00900748422650215,0,-2.1e-05
1.18458079218518e-06,0.00072887873609145,0.298969250820517,-3.86581498400341e-08,-2.37875306184976e-05,-0.00975809086503972,0,-4.8e-05
1.47949754471847e-06,0.000845312259708131,0.321955794792619,-4.82830692406601e-08,-2.75878793074859e-05,-0.0105086934123179,0,-7.7e-05
1.81969708255807e-06,0.000970366021352356,0.344939874436846,-5.93860275575624e-08,-3.16697273203165e-05,-0.0112592915536327,0,-0.000119
