thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
6.4101062809258e-06,0.00205075053233294,0.437285679866121,0,0,0,0,0.149365
7.21035705712471e-06,0.00221801961659868,0.454747510468102,0,0,0,0,0.164367
8.07456641460108e-06,0.00239183673818157,0.472205860389429,0,0,0,0,0.18058
9.00518980669632e-06,0.002572200566669,0.489660596002235,0,0,0,0,0.196312
1.00046821784053e-05,0.00275910972153903,0.507111583706314,0,0,0,0,0.214606
1.10754979475976e-05,0.00295256277217114,0.524558689930148,0,0,0,0,0.233114
1.22200909862301e-05,0.00315255823785749,0.542001781131929,0,0,0,0,0.251987
1.34409146015544e-05,0.00335909458781368,0.559440723800579,0,0,0,0,0.273193
1.47404215173491e-05,0.0035721702411908,0.576875384456773,0,0,0,0,0.294252
1.6121063855142e-05,0.0037917835670876,0.594305629653964,0,0,0,0,0.316756
1.7585293115444e-05,0.00401793288456289,0.611731325979397,0,0,0,0,0.340656
1.91355601589858e-05,0.00425061646264824,0.629152340055138,0,0,0,0,0.364234
2.07743151879505e-05,0.00448983252036141,0.64656853853909,0,0,0,0,0.390412
2.25040077272347e-05,0.00473557922672006,0.663979788126014,0,0,0,0,0.416994
2.43270866056844e-05,0.00498785470075544,0.681385955548551,0,0,0,0,0.443878
2.62459999373555e-05,0.0052466570115272,0.698786907578244,0,0,0,0,0.473234
2.82631951027866e-05,0.00551198417813778,0.716182511026551,0,0,0,0,0.502466
3.03811187302492e-05,0.00578383416974785,0.73357263274587,0,0,0,0,0.533297
3.26022166770308e-05,0.00606220490559183,0.750957139630558,0,0,0,0,0.564909
3.49289340107192e-05,0.00634709425499356,0.768335898617948,0,0,0,0,0.598214
3.73637149904755e-05,0.00663850003738296,0.785708776689367,0,0,0,0,0.631937
3.99090030483376e-05,0.00693642002231239,0.803075640871154,0,0,0,0,0.667023
4.25672407704991e-05,0.00724085192947409,0.820436358235683,0,0,0,0,0.703649
4.53408698786365e-05,0.00755179342871722,0.837790795902372,0,0,0,0,0.740024
4.82323312112123e-05,0.00786924214006605,0.855138821038707,0,0,0,0,0.779111
5.12440647047839e-05,0.00819319563373805,0.872480300861255,0,0,0,0,0.818004
5.43785093753338e-05,0.00852365143016228,0.889815102636682,0,0,0,0,0.859219
5.7638103299596e-05,0.0088606069999987,0.907143093682768,0,0,0,0,0.89999
6.10252835964194e-05,0.00920405976415742,0.924464141369422,0,0,0,0,0.94346
6.45424864080761e-05,0.00955400709381833,0.941778113119702,0,0,0,0,0.986805
6.81921468816366e-05,0.00991044631045125,0.95908487641082,0,0,0,0,1.032396
7.19766991503438e-05,0.0102733746858366,0.976384298775168,0,0,0,0,1.077746
7.58985763149431e-05,0.0106427894420862,0.993676247801321,0,0,0,0,1.125526
7.9960210425093e-05,0.0110186877516642,1.01096059113506,0,0,0,0,1.173362
8.4164032460736e-05,0.0114010667374094,1.02823719648038,0,0,0,0,1.223228
8.85124723135035e-05,0.0117899234725567,1.0455059316005,0,0,0,0,1.272815
9.30079587681047e-05,0.0121852549807597,1.06276666431888,0,0,0,0,1.325034
9.76529194837313e-05,0.0125870582361132,1.08001926252023,0,0,0,0,1.377144
0.000102449780975489,0.0129953301631774,1.09726359415153,0,0,0,0,1.430713
0.000107400968595823,0.0134100676369998,1.11449952722303,0,0,0,0,1.485908
0.000112508906515963,0.0138312674831404,1.13172692980925,0,0,0,0,1.54137
0.000117776017707328,0.0142589264776958,1.14894567005001,0,0,0,0,1.598388
0.000123204723923037,0.0146930413473231,1.16615561615146,0,0,0,0,1.655997
0.000128797445679339,0.0151336087692662,1.18335663638701,0,0,0,0,1.715451
0.000134556602237071,0.0155806253713798,1.20054859909843,0,0,0,0,1.774349
0.000140484611583203,0.0160340877321567,1.21773137269681,0,0,0,0,1.836029
0.00014658389041225,0.0164939923807527,1.23490482566356,0,0,0,0,1.898009
0.000152856854107838,0.016960335797014,1.25206882655144,0,0,0,0,1.960318
0.000159305916724184,0.0174331144115037,1.26922324398555,0,0,0,0,2.024986
0.000165933490967621,0.0179123246055295,1.28636794666436,0,0,0,0,2.089446
0.000172741988178158,0.0183979627111709,1.30350280336068,0,0,0,0,2.15539
0.000179733818310978,0.0188900250113078,1.3206276829227,0,0,0,0,2.221961
0.000186911389918035,0.0193885077396485,1.33774245427494,0,0,0,0,2.290115
0.000194277110129588,0.019893407080759,1.35484698641934,0,0,0,0,2.358504
0.000201833384635787,0.0204047191700916,1.37194114843618,0,0,0,0,2.428056
0.000209582617668278,0.0209224400940152,1.38902480948511,0,0,0,0,2.499022
0.000217527211981769,0.0214465658898443,1.40609783880617,0,0,0,0,2.569544
0.000225669568835659,0.0219770925458706,1.42316010572077,0,0,0,0,2.642506
0.000234012087975653,0.0225140160013925,1.44021147963271,0,0,0,0,2.715088
0.000242557167615397,0.0230573321467469,1.45725183002913,0,0,0,0,2.789732
0.00025130720441811,0.0236070368233404,1.47428102648159,0,0,0,0,2.863573
0.000260264593478266,0.0241631258236812,1.49129893864699,0,0,0,0,2.939938
0.000269431728303234,0.0247255948914112,1.50830543626863,0,0,0,0,3.015769
0.000278811000794977,0.0252944397213387,1.52530038917714,0,0,0,0,3.093575
0.000288404801231722,0.0258696559594714,1.54228366729154,0,0,0,0,3.17066
0.000298215518249683,0.0264512392030495,1.55925514062022,0,0,0,0,3.250052
0.000308245538824793,0.0270391850005796,1.5762146792619,0,0,0,0,3.329438
0.000318497248254395,0.0276334888518688,1.59316215340666,0,0,0,0,3.409125
0.000328973030138993,0.0282341462080587,1.61009743333693,0,0,0,0,3.490447
0.000339675266364057,0.0288411524716612,1.62702038942846,0,0,0,0,3.571541
0.000350606337081721,0.0294545029965924,1.64393089215133,0,0,0,0,3.653864
0.00036176862069262,0.0300741930882092,1.66082881207096,0,0,0,0,3.736431
0.000373164493827641,0.0307002180033447,1.67771401984906,0,0,0,0,3.819627
0.000384796331329767,0.0313325729503448,1.69458638624464,0,0,0,0,3.90395
0.000396666506235903,0.0319712530891046,1.71144578211502,0,0,0,0,3.988191
0.000408777389758653,0.0326162535311057,1.72829207841676,0,0,0,0,4.073328
0.000421131351268273,0.0332675693394533,1.74512514620672,0,0,0,0,4.159478
0.000433730758274432,0.0339251955289145,1.76194485664301,0,0,0,0,4.244713
0.000446577976408137,0.0345891270659557,1.77875108098594,0,0,0,0,4.332843
0.000459675369403661,0.0352593588687822,1.7955436905991,0,0,0,0,4.419025
0.000473025299080371,0.0359358858073757,1.81232255695025,0,0,0,0,4.508217
0.000486630125324738,0.036618702703535,1.82908755161234,0,0,0,0,4.594812
0.000500492206072184,0.0373078043309146,1.84583854626453,0,0,0,0,4.68425
0.000514613897289126,0.0380031854150653,1.86257541269311,0,0,0,0,4.772447
0.000528997552954859,0.038704840633474,1.8792980227925,0,0,0,0,4.861685
0.000543645525043601,0.0394127646156052,1.89600624856626,0,0,0,0,4.951771
0.000558560163506465,0.0401269519429412,1.91269996212805,0,0,0,0,5.04131
0.000573743816253463,0.0408473971490247,1.9293790357026,0,0,0,0,5.131709
0.000589198829135552,0.0415740947194993,1.94604334162668,0,0,0,0,5.222846
0.000604927545926677,0.042307039092153,1.96269275235013,0,0,0,0,5.313757
0.000620932308305819,0.0430462246569598,1.97932714043677,0,0,0,0,5.404241
0.000637215455839091,0.0437916457561232,1.9959463785654,0,0,0,0,5.496133
0.000653779325961802,0.0445432966841193,2.01255033953082,0,0,0,0,5.588006
