thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,drag
0,0,0,0,0,0,0,0
6.35909991225798e-10,5.08683012410607e-06,0.027127351533211,0,0,0,0,0.000358
5.08727408816474e-09,2.034728156067e-05,0.0542544954261488,0,0,0,0,0.001769
1.71695171924287e-08,4.57812375016913e-05,0.0813812240401296,0,0,0,0,0.002961
4.06980057958421e-08,8.13885032686937e-05,0.108507329739648,0,0,0,0,0.004963
7.94880187780697e-08,0.000127168806313906,0.135632604893968,0,0,0,0,0.007912
1.37354718204245e-07,0.000183121796222033,0.162756841878708,0,0,0,0,0.01071
2.18113120117914e-07,0.000249247044713502,0.189879833077435,0,0,0,0,0.014286
3.25578065346518e-07,0.000325544045647265,0.217001370883251,0,0,0,0,0.018789
4.63564190295059e-07,0.000412012215024932,0.244121247700383,0,0,0,0,0.023267
6.35885897754751e-07,0.000508650890995052,0.271239255945772,0,0,0,0,0.029261
8.46357327700144e-07,0.00061545933385842,0.29835518805066,0,0,0,0,0.035309
1.09879232809778e-06,0.00073243672607384,0.325468836462181,0,0,0,0,0.042426
1.39700442571137e-06,0.000859582172263576,0.35257999364495,0,0,0,0,0.050933
1.74480679691854e-06,0.000996894699221328,0.37968845208265,0,0,0,0,0.059732
2.14601223851486e-06,0.00114437325591872,0.406794004279621,0,0,0,0,0.070444
2.60443313854095e-06,0.00130201671351416,0.433896442762447,0,0,0,0,0.081318
3.12388144708188e-06,0.00146982386536094,0.460995560081547,0,0,0,0,0.093461
3.70816864711276e-06,0.00164779342701626,0.488091148812761,0,0,0,0,0.107009
4.36110572531081e-06,0.00183592403625214,0.515183001558935,0,0,0,0,0.121005
5.08650314288825e-06,0.0020342142530644,0.542270910951516,0,0,0,0,0.136304
5.88817080642513e-06,0.00224266255968481,0.56935466965213,0,0,0,0,0.15329
6.76991803870685e-06,0.00246126736059224,0.596434070354176,0,0,0,0,0.170802
7.7355535495662e-06,0.00269002698252496,0.62350890578441,0,0,0,0,0.190578
8.78888540674392e-06,0.00292893967449331,0.650578968704532,0,0,0,0,0.210817
9.93372100670771e-06,0.00317800360779328,0.677644051912772,0,0,0,0,0.232729
1.11738670455497e-05,0.00343721687602038,0.704703948245474,0,0,0,0,0.256346
1.25131294898191e-05,0.00370657749508438,0.731758450578687,0,0,0,0,0.280605
1.39553135473994e-05,0.00398608340322455,0.758807351829746,0,0,0,0,0.306525
1.55042236383865e-05,0.00427573246102496,0.785850444958859,0,0,0,0,0.334168
1.7163663365971e-05,0.00457552245143134,0.812887522970688,0,0,0,0,0.363329
1.89374354873185e-05,0.00488545107976816,0.839918378915938,0,0,0,0,0.392918
2.08293418844493e-05,0.00520551597375551,0.866942805892942,0,0,0,0,0.425494
2.28431835351609e-05,0.00553571468352807,0.89396059704924,0,0,0,0,0.459037
2.49827604839277e-05,0.00587604468165315,0.920971545583162,0,0,0,0,0.493326
2.72518718128077e-05,0.0062265033631509,0.947975444745418,0,0,0,0,0.530509
2.9654315612363e-05,0.0065870880455129,0.974972087840672,0,0,0,0,0.568754
3.21938889525986e-05,0.00695779596872432,1.00196126822913,0,0,0,0,0.60842
3.487438785389e-05,0.00733862429528377,1.02894277932812,0,0,0,0,0.649704
3.7699607257929e-05,0.00772957011022554,1.05591641461367,0,0,0,0,0.693133
4.06733409986669e-05,0.00813063042114193,1.0828819676221,0,0,0,0,0.737493
4.37993817733047e-05,0.00854180215820633,1.10983923195157,0,0,0,0,0.783743
4.70815211132293e-05,0.00896308217419579,1.13678800126373,0,0,0,0,0.832105
5.05235493550056e-05,0.00939446724451652,1.1637280692852,0,0,0,0,0.881449
5.41292556113686e-05,0.00983595406722753,1.19065922980923,0,0,0,0,0.933463
5.79024277422196e-05,0.0102875392630661,1.21758127669726,0,0,0,0,0.986307
6.1846852325623e-05,0.0107492193754738,1.24449400388047,0,0,0,0,1.041126
6.59663146288422e-05,0.0112209908706234,1.27139720536137,0,0,0,0,1.0981
7.02645985793245e-05,0.0117028501374445,1.29829067521541,0,0,0,0,1.156188
7.47454867357965e-05,0.012194793487653,1.32517420759251,0,0,0,0,1.216074
7.94127602592637e-05,0.0126968171557777,1.35204759671864,0,0,0,0,1.278167
8.42701988841054e-05,0.0132089172991905,1.37891063689744,0,0,0,0,1.341299
8.93215808891019e-05,0.0137310899981346,1.40576312251175,0,0,0,0,1.407096
9.45706830685574e-05,0.0142633312557556,1.43260484802519,0,0,0,0,1.473818
0.000100021280703355,0.0148056369981312,1.45943560798375,0,0,0,0,1.542618
0.000105677147532078,0.0153580030743027,1.48625519701735,0,0,0,0,1.613491
0.000111542055722122,0.015920425256307,1.51306340984142,0,0,0,0,1.685472
0.000117619775840842,0.0164928992392087,1.53986004125847,0,0,0,0,1.759394
0.000123914076826642,0.0170754206411333,1.56664488615963,0,0,0,0,1.835465
