thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W_dot_plus,lift
0,0,0,0,0,0,0,0
5.75787161961335e-10,4.60585540836333e-06,0.0245621962752308,0,0,0,0,0.000325
4.6062920063424e-09,1.84233863786498e-05,0.0491242045417728,0,0,0,0,0.001711
1.55462057718226e-08,4.14524871457809e-05,0.0736858367923765,0,0,0,0,0.002924
3.68501668101223e-08,7.36929814361399e-05,0.0982469050226704,0,0,0,0,0.004838
7.19727341417409e-08,0.000115144622468374,0.1228072212326,0,0,0,0,0.006958
1.24368361015087e-07,0.000165807092955129,0.147366597427868,0,0,0,0,0.010183
1.97491368463128e-07,0.000225680005106262,0.171924845621372,0,0,0,0,0.013255
2.94795918863176e-07,0.00029476290063097,0.196481777834642,0,0,0,0,0.017692
4.19735989497449e-07,0.000373055250741405,0.221037206099283,0,0,0,0,0.022033
5.75765346116511e-07,0.000460556456157482,0.245590942458412,0,0,0,0,0.027193
7.6633751649905e-07,0.000557265847110485,0.270142798968095,0,0,0,0,0.033548
9.94905764022103e-07,0.000663182683348811,0.294692587698789,0,0,0,0,0.040116
1.2649230612224e-06,0.000778306154143587,0.319240120736776,0,0,0,0,0.047646
1.57984206337338e-06,0.000902635378294277,0.343785210185606,0,0,0,0,0.056521
1.94311508204966e-06,0.00103616940413643,0.368327668167534,0,0,0,0,0.065751
2.35819405870977e-06,0.00117890720954824,0.392867306824954,0,0,0,0,0.075999
2.82853053826119e-06,0.0013308477019584,0.417403938321843,0,0,0,0,0.087742
3.35757564265873e-06,0.00149198971835482,0.441937374845195,0,0,0,0,0.099839
3.94878004447057e-06,0.00166233202529329,0.466467428606461,0,0,0,0,0.113113
4.60559394047563e-06,0.00184187331890699,0.490993911842981,0,0,0,0,0.127949
5.33146702525364e-06,0.00203061222491633,0.51551663681943,0,0,0,0,0.143282
6.1298484647762e-06,0.00222854729863956,0.540035415829247,0,0,0,0,0.160599
7.00418687001045e-06,0.00243567702500423,0.564550061196077,0,0,0,0,0.177734
7.95793027051323e-06,0.00265199981855788,0.589060385275204,0,0,0,0,0.197405
8.99452608805255e-06,0.00287751402348114,0.61356620045499,0,0,0,0,0.218044
1.01174211102007e-05,0.00311221791359962,0.638067319158309,0,0,0,0,0.239665
1.13300614639774e-05,0.00335610969239782,0.662563553843983,0,0,0,0,0.262689
1.26358925894372e-05,0.00360918749303219,0.687054717008221,0,0,0,0,0.286797
1.4038359213331e-05,0.00387144937834599,0.711540621186048,0,0,0,0,0.312843
1.55409053227225e-05,0.00414289334088396,0.736021078952745,0,0,0,0,0.339655
1.71469741386167e-05,0.00442351730290747,0.760495902925284,0,0,0,0,0.368675
1.88600080896286e-05,0.00471331911641035,0.784964905763756,0,0,0,0,0.398487
2.06834487856114e-05,0.00501229656313605,0.809427900172812,0,0,0,0,0.429874
2.26207369913189e-05,0.0053204473545939,0.833884698903094,0,0,0,0,0.463211
2.46753126000903e-05,0.00563776913207651,0.858335114752666,0,0,0,0,0.496802
2.68506146074731e-05,0.00596425946667886,0.882778960568451,0,0,0,0,0.533832
2.91500810849493e-05,0.00629991585931554,0.907216049247663,0,0,0,0,0.570332
3.15771491535893e-05,0.0066447357407409,0.931646193739233,0,0,0,0,0.610025
3.41352549577519e-05,0.00699871647156836,0.956069207045251,0,0,0,0,0.650292
3.68278336387793e-05,0.00736185534229023,0.980484902222387,0,0,0,0,0.693031
3.96583193087054e-05,0.00773414957329942,1.00489309238333,0,0,0,0,0.736772
4.26301450239805e-05,0.00811559631490945,1.02929359069822,0,0,0,0,0.782206
4.57467427591646e-05,0.0085061926473777,1.05368621039606,0,0,0,0,0.829803
4.90115433806853e-05,0.00890593558092614,1.07807076476617,0,0,0,0,0.878433
5.24279766205798e-05,0.00931482205576576,1.1024470671596,0,0,0,0,0.928881
5.59994710502045e-05,0.00973284894211901,1.12681493099057,0,0,0,0,0.981454
5.97294540540391e-05,0.0101600130402439,1.15117416973788,0,0,0,0,1.035183
6.3621351803403e-05,0.010596311080459,1.17552459694637,0,0,0,0,1.090697
6.76785892302972e-05,0.0110417397231677,1.19986602622831,0,0,0,0,1.148524
7.19045900011035e-05,0.0114962955588846,1.22419827126484,0,0,0,0,1.207577
7.63027764904556e-05,0.0119599751082608,1.24852114580742,0,0,0,0,1.269013
8.08765697549929e-05,0.0124327748221111,1.27283446367922,0,0,0,0,1.330964
8.56293895071982e-05,0.0129146910814411,1.29713803877656,0,0,0,0,1.395915
9.05646540892182e-05,0.0134057201974744,1.32143168507035,0,0,0,0,1.462397
9.56857804466758e-05,0.0139058584116817,1.34571521660747,0,0,0,0,1.529735
0.000100996184102571,0.0144151018958086,1.36998844751226,0,0,0,0,1.600698
0.000106499279131066,0.014933446751906,1.39425119198788,0,0,0,0,1.671462
0.000112198478131405,0.0154608890123585,1.41850326431775,0,0,0,0,1.745618
0.000118097192201771,0.0159974246399165,1.44274447886701,0,0,0,0,1.820638
0.000124198830913186,0.0165430495277256,1.46697465008388,0,0,0,0,1.89762
0.000130506802283396,0.0170977594993587,1.49119359250112,0,0,0,0,1.976982
0.000137024512750815,0.0176615503088482,1.51540112073745,0,0,0,0,2.057502
0.000143755367148407,0.0182344176407178,1.53959704949895,0,0,0,0,2.140707
0.000150702768677665,0.0188163571100163,1.56378119358047,0,0,0,0,2.225039
0.000157870118882546,0.0194073642623505,1.5879533678671,0,0,0,0,2.311375
0.000165260817623419,0.0200074345739198,1.61211338733553,0,0,0,0,2.399331
0.000172878263051074,0.0206165634515507,1.63626106705548,0,0,0,0,2.489718
0.000180725851580673,0.0212347462327315,1.66039622219114,0,0,0,0,2.581314
0.000188806977865802,0.0218619781856489,1.68451866800256,0,0,0,0,2.675541
0.000197125034772423,0.0224982545092231,1.70862821984707,0,0,0,0,2.771013
0.000205683413352958,0.0231435703331456,1.73272469318071,0,0,0,0,2.868437
0.000214485502820316,0.0237979207179159,1.75680790355961,0,0,0,0,2.967539
0.000223534690521934,0.0244613006548793,1.78087766664144,0,0,0,0,3.069015
0.000232834361913864,0.0251337050662655,1.80493379818676,0,0,0,0,3.172409
0.000242387900534872,0.0258151288052272,1.82897611406053,0,0,0,0,3.276606
0.00025219868798051,0.0265055666558798,1.85300443023341,0,0,0,0,3.383871
0.000262270103877251,0.0272050133333409,1.87701856278325,0,0,0,0,3.492046
0.000272605525856606,0.0279134634837713,1.90101832789645,0,0,0,0,3.60294
