A1,A2,A3,|A1|,|A2|,|A3|,(A1)^2,(A2)^2,(A3)^2,sinA1,sinA2,sinA3,cosA1,cosA2,cosA3,sin2A1,sin2A2,sin2A3,cos2A1,cos2A2,cos2A3,COL
20,0,20,20,0,20,400,0,400,0.912945250727628,0,0.912945250727628,0.408082061813392,1,0.408082061813392,0.745113160479349,0,0.745113160479349,-0.666938061652262,1,-0.666938061652262,0.660017452
20,0,50,20,0,50,400,0,2500,0.912945250727628,0,-0.262374853703929,0.408082061813392,1,0.964966028492113,0.745113160479349,0,-0.506365641109759,-0.666938061652262,1,0.862318872287684,0.566045712
20,100,20,20,100,20,400,10000,400,0.912945250727628,-0.506365641109759,0.912945250727628,0.408082061813392,0.862318872287684,0.408082061813392,0.745113160479349,-0.873297297213995,0.745113160479349,-0.666938061652262,0.487187675007006,-0.666938061652262,1.007325084
20,100,50,20,100,50,400,10000,2500,0.912945250727628,-0.506365641109759,-0.262374853703929,0.408082061813392,0.862318872287684,0.964966028492113,0.745113160479349,-0.873297297213995,-0.506365641109759,-0.666938061652262,0.487187675007006,0.862318872287684,0.863892295
200,0,20,200,0,20,40000,0,400,-0.873297297213995,0,0.912945250727628,0.487187675007006,1,0.408082061813392,-0.850919359639177,0,0.745113160479349,-0.525296338642536,1,-0.666938061652262,0.709277974
200,0,50,200,0,50,40000,0,2500,-0.873297297213995,0,-0.262374853703929,0.487187675007006,1,0.964966028492113,-0.850919359639177,0,-0.506365641109759,-0.525296338642536,1,0.862318872287684,0.637505811
200,100,20,200,100,20,40000,10000,400,-0.873297297213995,-0.506365641109759,0.912945250727628,0.487187675007006,0.862318872287684,0.408082061813392,-0.850919359639177,-0.873297297213995,0.745113160479349,-0.525296338642536,0.487187675007006,-0.666938061652262,1.104816343
200,100,50,200,100,50,40000,10000,2500,-0.873297297213995,-0.506365641109759,-0.262374853703929,0.487187675007006,0.862318872287684,0.964966028492113,-0.850919359639177,-0.873297297213995,-0.506365641109759,-0.525296338642536,0.487187675007006,0.862318872287684,0.923329757
20,50,35,20,50,35,400,2500,1225,0.912945250727628,-0.262374853703929,-0.428182669496151,0.408082061813392,0.964966028492113,-0.903692205091507,0.745113160479349,-0.506365641109759,0.773890681557889,-0.666938061652262,0.862318872287684,0.6333192030863,0.766159981
200,50,35,200,50,35,40000,2500,1225,-0.873297297213995,-0.262374853703929,-0.428182669496151,0.487187675007006,0.964966028492113,-0.903692205091507,-0.850919359639177,-0.506365641109759,0.773890681557889,-0.525296338642536,0.862318872287684,0.6333192030863,0.83781039
110,0,35,110,0,35,12100,0,1225,-0.044242678085071,0,-0.428182669496151,-0.999020813314648,1,-0.903692205091507,0.0883987124875315,0,0.773890681557889,0.996085170871722,1,0.6333192030863,0.698001916
110,100,35,110,100,35,12100,10000,1225,-0.044242678085071,-0.506365641109759,-0.428182669496151,-0.999020813314648,0.862318872287684,-0.903692205091507,0.0883987124875315,-0.873297297213995,0.773890681557889,0.996085170871722,0.487187675007006,0.6333192030863,1.010351889
110,50,20,110,50,20,12100,2500,400,-0.044242678085071,-0.262374853703929,0.912945250727628,-0.999020813314648,0.964966028492113,0.408082061813392,0.0883987124875315,-0.506365641109759,0.745113160479349,0.996085170871722,0.862318872287684,-0.666938061652262,0.810090515
110,50,50,110,50,50,12100,2500,2500,-0.044242678085071,-0.262374853703929,-0.262374853703929,-0.999020813314648,0.964966028492113,0.964966028492113,0.0883987124875315,-0.506365641109759,-0.506365641109759,0.996085170871722,0.862318872287684,0.862318872287684,0.732138753
110,50,35,110,50,35,12100,2500,1225,-0.044242678085071,-0.262374853703929,-0.428182669496151,-0.999020813314648,0.964966028492113,-0.903692205091507,0.0883987124875315,-0.506365641109759,0.773890681557889,0.996085170871722,0.862318872287684,0.6333192030863,0.814545977
57.20419849,18.31996,32.30585323,57.20419849,18.31996,32.30585323,3272.32032488332,335.6209344016,1043.6681529183,0.609580048184843,-0.505184658189345,0.777025605825189,0.792724520154994,0.86301127520451,0.629468988824706,0.966458102386775,-0.871960112155482,0.978227044779373,0.25682432970993,0.48957692226023,-0.207537584216005,0.71304168
145.4657454,83.50974,22.10251727,145.4657454,83.50974,22.10251727,21160.2830847776,6973.8766748676,488.521269670648,0.81485750905781,0.967020826589367,-0.111138620200902,0.57966131484868,-0.254697312397318,-0.993804914004675,0.944682750229541,-0.492595211129089,0.220900213782711,-0.327985520135799,-0.870258558115166,0.975296414199679,0.97172759
166.1200507,76.49127,30.80819024,166.1200507,76.49127,30.80819024,27595.8712445706,5850.9143862129,949.144585864031,0.374965853494392,0.888031673888493,-0.571010553317039,-0.927038623096806,0.45978228127104,0.820942719073974,-0.69521565706352,0.816602457722783,-0.937533912520048,0.718801217426444,-0.577200507658396,0.347893896001138,0.938048352
47.6857399,48.72949,49.50508215,47.6857399,48.72949,49.50508215,2273.92978981045,2374.5631956601,2450.75315867825,-0.53275279136163,-0.999394406472642,-0.689211547149816,-0.846270916017082,0.0347968434085123,0.724560172294445,0.901706385512528,-0.0695515413307433,-0.998750474700384,0.432348926592784,-0.997578359377607,0.0499748865507129,0.701264063
107.8717547,23.73004,41.80030766,107.8717547,23.73004,41.80030766,11636.315462057,563.1147984016,1747.26572047065,0.871181876595804,-0.985905254325607,-0.81896391004419,0.490960423955958,0.167304600932431,-0.573845026157004,0.855431646952445,-0.329892970264265,0.9399167327619,-0.517915724217973,-0.94401834101368,-0.341403771909735,0.727898891
